"Hours since thread went live","Kaii to Otome to Kamikakushi • Mysterious Disappearances - Episode 8 discussion"
39,264
39.083333333333336,261
39.166666666666664,264
39.25,262
39.333333333333336,265
39.416666666666664,261
39.5,262
39.583333333333336,261
39.666666666666664,261
39.75,264
39.833333333333336,263
39.916666666666664,262
40,262
40.083333333333336,264
40.166666666666664,262
40.25,266
40.333333333333336,259
40.416666666666664,265
40.5,262
40.583333333333336,259
40.666666666666664,264
40.75,261
40.833333333333336,260
40.916666666666664,262
41,261
41.083333333333336,265
41.166666666666664,258
41.25,264
41.333333333333336,260
41.416666666666664,262
41.5,261
41.583333333333336,263
41.666666666666664,259
41.75,264
41.833333333333336,259
41.916666666666664,264
42,262
42.083333333333336,261
42.166666666666664,264
42.25,263
42.333333333333336,260
42.416666666666664,259
42.5,264
42.583333333333336,262
42.666666666666664,265
42.75,264
42.833333333333336,262
42.916666666666664,263
43,262
43.083333333333336,263
43.166666666666664,264
43.25,263
43.333333333333336,267
43.416666666666664,261
43.5,265
43.583333333333336,262
43.666666666666664,262
43.75,261
43.833333333333336,264
43.916666666666664,263
44,263
44.083333333333336,264
44.166666666666664,267
44.25,264
44.333333333333336,262
44.416666666666664,263
44.5,260
44.583333333333336,266
44.666666666666664,264
44.75,261
44.833333333333336,263
44.916666666666664,266
45,263
45.083333333333336,262
45.166666666666664,264
45.25,266
45.333333333333336,265
45.416666666666664,265
45.5,264
45.583333333333336,264
45.666666666666664,265
45.75,262
45.833333333333336,261
45.916666666666664,262
46,264
46.083333333333336,262
46.166666666666664,264
46.25,266
46.333333333333336,264
46.416666666666664,261
46.5,264
46.583333333333336,265
46.666666666666664,260
46.75,266
46.833333333333336,265
46.916666666666664,265
47,263
47.083333333333336,262
47.166666666666664,267
47.25,266
47.333333333333336,266
47.416666666666664,266
47.5,262
47.583333333333336,267
47.666666666666664,262
47.75,264
47.833333333333336,264
47.916666666666664,264
