"Hours since thread went live","Odekake Kozame - Episode 39 discussion"
23.416666666666668,19
23.5,16
23.583333333333332,16
23.666666666666668,19
23.75,18
23.833333333333332,18
23.916666666666668,17
24,17
24.083333333333332,17
24.166666666666668,17
24.25,18
24.333333333333332,16
24.416666666666668,16
24.5,17
24.583333333333332,17
24.666666666666668,16
24.75,19
24.833333333333332,16
24.916666666666668,17
25,17
25.083333333333332,15
25.166666666666668,16
25.25,15
25.333333333333332,17
25.416666666666668,19
25.5,15
25.583333333333332,17
25.666666666666668,15
25.75,17
25.833333333333332,17
25.916666666666668,19
26,16
26.083333333333332,17
26.166666666666668,18
26.25,15
26.333333333333332,17
26.416666666666668,18
26.5,15
26.583333333333332,16
26.666666666666668,16
26.75,15
26.833333333333332,16
26.916666666666668,19
27,17
27.083333333333332,17
27.166666666666668,18
27.25,17
27.333333333333332,18
27.416666666666668,18
27.5,16
27.583333333333332,16
27.666666666666668,15
27.75,17
27.833333333333332,17
27.916666666666668,19
28,15
28.083333333333332,17
28.166666666666668,17
28.25,16
28.333333333333332,18
28.416666666666668,18
28.5,18
28.583333333333332,16
28.666666666666668,16
28.75,17
28.833333333333332,19
28.916666666666668,18
29,18
29.083333333333332,18
29.166666666666668,17
29.25,18
29.333333333333332,17
29.416666666666668,16
29.5,17
29.583333333333332,18
29.666666666666668,17
29.75,17
29.833333333333332,17
29.916666666666668,18
30,17
30.083333333333332,16
30.166666666666668,17
30.25,17
30.333333333333332,17
30.416666666666668,15
30.5,16
30.583333333333332,18
30.666666666666668,15
30.75,16
30.833333333333332,16
30.916666666666668,18
31,16
31.083333333333332,15
31.166666666666668,17
31.25,16
31.333333333333332,16
31.416666666666668,17
31.5,18
31.583333333333332,16
31.666666666666668,18
31.75,17
31.833333333333332,18
31.916666666666668,20
32,17
32.083333333333336,16
32.166666666666664,20
32.25,19
32.333333333333336,20
32.416666666666664,18
32.5,16
32.583333333333336,17
32.666666666666664,18
32.75,18
32.833333333333336,20
32.916666666666664,17
33,17
33.083333333333336,18
33.166666666666664,19
33.25,17
33.333333333333336,17
33.416666666666664,17
33.5,17
33.583333333333336,18
33.666666666666664,19
33.75,16
33.833333333333336,19
33.916666666666664,18
34,18
34.083333333333336,17
34.166666666666664,16
34.25,18
34.333333333333336,18
34.416666666666664,16
34.5,18
34.583333333333336,18
34.666666666666664,17
34.75,19
34.833333333333336,17
34.916666666666664,17
35,18
35.083333333333336,18
35.166666666666664,19
35.25,18
35.333333333333336,18
35.416666666666664,19
35.5,17
35.583333333333336,19
35.666666666666664,16
35.75,19
35.833333333333336,16
35.916666666666664,17
36,18
36.083333333333336,19
36.166666666666664,19
36.25,16
36.333333333333336,18
36.416666666666664,18
36.5,19
36.583333333333336,18
36.666666666666664,16
36.75,17
36.833333333333336,18
36.916666666666664,16
37,20
37.083333333333336,21
37.166666666666664,20
37.25,21
37.333333333333336,20
37.416666666666664,20
37.5,20
37.583333333333336,21
37.666666666666664,21
37.75,21
37.833333333333336,18
37.916666666666664,21
38,20
38.083333333333336,19
38.166666666666664,19
38.25,22
38.333333333333336,19
38.416666666666664,21
38.5,21
38.583333333333336,21
38.666666666666664,20
38.75,19
38.833333333333336,19
38.916666666666664,20
39,19
39.083333333333336,20
39.166666666666664,20
39.25,19
39.333333333333336,19
39.416666666666664,19
39.5,21
39.583333333333336,21
39.666666666666664,20
39.75,19
39.833333333333336,20
39.916666666666664,22
40,19
40.083333333333336,20
40.166666666666664,22
40.25,22
40.333333333333336,21
40.416666666666664,21
