"Hours since thread went live","Re:Monster - Episode 2 discussion"
0,2
0,0
0.08333333333333333,0
0.16666666666666666,0
0.25,1
0.3333333333333333,3
0.4166666666666667,7
0.5,11
0.5833333333333334,15
0.6666666666666666,19
0.75,23
0.8333333333333334,25
0.9166666666666666,33
1,38
1.0833333333333333,41
1.1666666666666667,48
1.25,51
1.3333333333333333,57
1.4166666666666667,59
1.5,63
1.5833333333333333,69
1.6666666666666667,76
1.75,79
1.8333333333333333,81
1.9166666666666667,83
2,88
2.0833333333333335,89
2.1666666666666665,90
2.25,90
2.3333333333333335,94
2.4166666666666665,98
2.5,99
2.5833333333333335,99
2.6666666666666665,103
2.75,104
2.8333333333333335,106
2.9166666666666665,102
3,104
3.0833333333333335,102
3.1666666666666665,111
3.25,111
3.3333333333333335,117
3.4166666666666665,123
3.5,125
3.5833333333333335,128
3.6666666666666665,130
3.75,132
3.9166666666666665,138
4,140
4.083333333333333,147
4.166666666666667,152
4.25,150
4.333333333333333,157
4.416666666666667,162
4.5,165
4.583333333333333,168
4.666666666666667,168
4.75,174
4.833333333333333,174
4.916666666666667,182
5,187
5.083333333333333,189
5.166666666666667,193
5.25,193
5.333333333333333,194
5.416666666666667,197
5.5,201
5.583333333333333,204
5.666666666666667,200
5.75,205
5.833333333333333,203
5.916666666666667,208
6,208
6.083333333333333,209
6.166666666666667,213
6.25,207
6.333333333333333,216
6.416666666666667,210
6.5,219
6.583333333333333,222
6.666666666666667,227
6.75,229
6.833333333333333,229
6.916666666666667,233
7,235
7.083333333333333,237
7.166666666666667,239
7.25,242
7.333333333333333,244
7.416666666666667,239
7.5,247
7.583333333333333,247
7.666666666666667,253
7.75,253
7.833333333333333,254
7.916666666666667,254
8,258
8.083333333333334,253
8.166666666666666,260
8.25,266
8.333333333333334,265
8.416666666666666,266
8.5,266
8.583333333333334,273
8.666666666666666,271
8.75,272
8.833333333333334,273
8.916666666666666,275
9,279
9.083333333333334,278
9.166666666666666,276
9.25,278
9.333333333333334,278
9.416666666666666,282
9.5,278
9.583333333333334,279
9.666666666666666,284
9.75,288
