"Hours since thread went live","Dekisokonai to Yobareta Moto Eiyuu wa, Jikka kara Tsuihou Sareta no de Suki Katte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 3 discussion"
38.583333333333336,63
38.666666666666664,62
38.75,59
38.833333333333336,61
38.916666666666664,61
39,63
39.083333333333336,64
39.166666666666664,61
39.25,62
39.333333333333336,64
39.416666666666664,64
39.5,60
39.583333333333336,65
39.666666666666664,63
39.75,65
39.833333333333336,63
39.916666666666664,65
40,63
40.083333333333336,60
40.166666666666664,65
40.25,62
40.333333333333336,63
40.416666666666664,63
40.5,60
40.583333333333336,62
40.666666666666664,62
40.75,61
40.833333333333336,63
40.916666666666664,63
41,63
41.083333333333336,63
41.166666666666664,66
41.25,60
41.333333333333336,65
41.416666666666664,62
41.5,66
41.583333333333336,60
41.666666666666664,65
41.75,63
41.833333333333336,64
41.916666666666664,68
42,64
42.083333333333336,63
42.166666666666664,64
42.25,64
42.333333333333336,67
42.416666666666664,64
42.5,66
42.583333333333336,60
42.666666666666664,66
42.75,65
42.833333333333336,63
42.916666666666664,65
43,61
43.083333333333336,63
43.166666666666664,65
43.25,64
43.333333333333336,67
43.416666666666664,68
43.5,63
43.583333333333336,63
43.666666666666664,66
43.75,61
43.833333333333336,68
43.916666666666664,60
44,65
44.083333333333336,67
44.166666666666664,64
44.25,62
44.333333333333336,64
44.416666666666664,64
44.5,66
44.583333333333336,64
44.666666666666664,66
44.75,63
44.833333333333336,66
44.916666666666664,68
45,63
45.083333333333336,65
45.166666666666664,66
45.25,63
45.333333333333336,64
45.416666666666664,66
45.5,61
45.583333333333336,64
45.666666666666664,62
45.75,60
45.833333333333336,65
45.916666666666664,62
46,66
46.083333333333336,60
46.166666666666664,63
46.25,65
46.333333333333336,61
46.416666666666664,65
46.5,65
46.583333333333336,61
46.666666666666664,64
46.75,61
46.833333333333336,67
46.916666666666664,61
47,65
47.083333333333336,65
47.166666666666664,62
47.25,66
47.333333333333336,62
47.416666666666664,64
47.5,62
47.583333333333336,64
47.666666666666664,62
47.75,62
47.833333333333336,66
47.916666666666664,62
