"Hours since thread went live","Shinkalion: Change the World - Episode 1 discussion"
0,1
0,2
0.08333333333333333,2
0.16666666666666666,2
0.25,3
0.3333333333333333,5
0.4166666666666667,4
0.5,5
0.5833333333333334,5
0.6666666666666666,5
0.75,6
0.8333333333333334,7
0.9166666666666666,7
1,7
1.0833333333333333,6
1.1666666666666667,6
1.25,6
1.3333333333333333,6
1.4166666666666667,8
1.5,7
1.5833333333333333,10
1.6666666666666667,8
1.75,11
1.8333333333333333,11
1.9166666666666667,9
2,12
2.0833333333333335,11
2.1666666666666665,10
2.25,12
2.3333333333333335,12
2.4166666666666665,14
2.5,12
2.5833333333333335,13
2.6666666666666665,11
2.75,12
2.8333333333333335,12
2.9166666666666665,11
3,12
3.0833333333333335,12
3.1666666666666665,13
3.25,13
3.3333333333333335,15
3.4166666666666665,14
3.5,15
3.5833333333333335,15
3.6666666666666665,14
3.75,15
3.8333333333333335,15
3.9166666666666665,15
4,15
4.083333333333333,14
4.166666666666667,15
4.25,17
4.333333333333333,16
4.416666666666667,16
4.5,16
4.583333333333333,15
4.666666666666667,15
4.75,16
4.833333333333333,17
4.916666666666667,18
5,18
5.083333333333333,18
5.166666666666667,18
5.25,19
5.333333333333333,18
5.416666666666667,19
5.5,17
5.583333333333333,18
5.666666666666667,19
5.75,20
5.833333333333333,19
5.916666666666667,19
6,18
6.083333333333333,19
6.166666666666667,19
6.25,20
6.333333333333333,18
6.416666666666667,21
6.5,19
6.583333333333333,21
6.666666666666667,17
6.75,18
6.833333333333333,21
6.916666666666667,19
7,16
7.083333333333333,17
7.166666666666667,16
7.25,20
7.333333333333333,19
7.416666666666667,17
7.5,20
7.583333333333333,17
7.666666666666667,21
7.75,18
7.833333333333333,19
7.916666666666667,18
8,20
8.083333333333334,22
8.166666666666666,20
8.25,23
8.333333333333334,21
8.416666666666666,23
8.5,22
8.583333333333334,22
8.666666666666666,22
8.75,25
8.833333333333334,25
8.916666666666666,23
9,24
9.083333333333334,23
9.166666666666666,22
9.25,23
9.333333333333334,22
9.416666666666666,24
9.5,21
9.583333333333334,23
9.666666666666666,24
9.75,20
9.833333333333334,21
9.916666666666666,25
10,23
10.083333333333334,27
10.166666666666666,25
10.25,25
10.333333333333334,25
10.416666666666666,25
10.5,23
10.583333333333334,25
10.666666666666666,24
10.75,23
10.833333333333334,29
10.916666666666666,29
11,24
11.083333333333334,26
11.166666666666666,27
11.25,26
11.333333333333334,27
11.416666666666666,26
11.5,30
11.583333333333334,30
11.666666666666666,26
11.75,25
11.833333333333334,31
11.916666666666666,29
12,32
12.083333333333334,31
12.166666666666666,29
12.25,30
12.333333333333334,28
12.416666666666666,29
12.5,30
12.583333333333334,27
12.666666666666666,33
12.75,30
12.833333333333334,29
12.916666666666666,30
13,30
13.083333333333334,29
13.166666666666666,31
13.25,27
13.333333333333334,29
13.416666666666666,27
13.5,28
13.583333333333334,28
13.666666666666666,27
13.75,28
13.833333333333334,33
13.916666666666666,29
14,34
14.083333333333334,31
14.166666666666666,31
14.25,31
14.333333333333334,31
14.416666666666666,28
14.5,33
14.583333333333334,31
14.666666666666666,34
14.75,32
14.833333333333334,32
14.916666666666666,29
15,31
15.083333333333334,31
15.166666666666666,27
15.25,30
15.333333333333334,28
15.416666666666666,33
15.5,33
15.583333333333334,32
15.666666666666666,32
15.75,33
15.833333333333334,31
15.916666666666666,31
16,31
16.083333333333332,33
16.166666666666668,33
16.25,30
16.333333333333332,31
16.416666666666668,31
16.5,33
16.583333333333332,33
16.666666666666668,29
16.75,30
16.833333333333332,29
16.916666666666668,31
17,30
17.083333333333332,32
17.166666666666668,36
17.25,30
17.333333333333332,33
17.416666666666668,36
17.5,31
17.583333333333332,32
17.666666666666668,36
17.75,29
17.833333333333332,30
17.916666666666668,33
18,32
18.083333333333332,36
18.166666666666668,32
18.25,35
18.333333333333332,33
18.416666666666668,35
18.5,33
18.583333333333332,37
18.666666666666668,30
18.75,34
18.833333333333332,33
18.916666666666668,34
19,33
19.083333333333332,33
19.166666666666668,33
19.25,35
19.333333333333332,33
19.416666666666668,36
19.5,34
19.583333333333332,34
19.666666666666668,30
19.75,31
19.833333333333332,34
19.916666666666668,33
20,32
20.083333333333332,36
20.166666666666668,30
20.25,36
20.333333333333332,31
20.416666666666668,35
20.5,32
20.583333333333332,36
20.666666666666668,33
20.75,35
20.833333333333332,35
20.916666666666668,35
21,32
21.083333333333332,35
21.166666666666668,35
21.25,32
21.333333333333332,33
21.416666666666668,35
21.5,33
21.583333333333332,34
21.666666666666668,30
21.75,35
21.833333333333332,31
21.916666666666668,31
22,33
22.083333333333332,34
22.166666666666668,34
22.25,34
22.333333333333332,35
22.416666666666668,35
22.5,36
22.583333333333332,34
22.666666666666668,34
22.75,36
22.833333333333332,33
22.916666666666668,30
23,34
23.083333333333332,33
23.166666666666668,33
23.25,31
23.333333333333332,32
23.416666666666668,32
23.5,34
23.583333333333332,33
23.666666666666668,31
23.75,32
23.833333333333332,32
23.916666666666668,29
24,30
24.083333333333332,30
24.166666666666668,35
24.25,36
24.333333333333332,37
24.416666666666668,37
24.5,36
24.583333333333332,33
24.666666666666668,34
24.75,32
24.833333333333332,37
24.916666666666668,32
25,33
25.083333333333332,32
25.166666666666668,31
25.25,32
25.333333333333332,34
25.416666666666668,33
25.5,35
25.583333333333332,33
25.666666666666668,34
25.75,31
25.833333333333332,33
25.916666666666668,32
26,33
26.083333333333332,33
26.166666666666668,30
26.25,31
26.333333333333332,35
26.416666666666668,37
26.5,36
26.583333333333332,33
26.666666666666668,32
26.75,36
26.833333333333332,33
26.916666666666668,29
27,31
27.083333333333332,35
27.166666666666668,33
27.25,33
27.333333333333332,33
27.416666666666668,32
27.5,29
27.583333333333332,33
27.666666666666668,34
27.75,36
27.833333333333332,35
27.916666666666668,29
28,33
28.083333333333332,30
28.166666666666668,35
28.25,31
28.333333333333332,36
28.416666666666668,31
28.5,31
28.583333333333332,37
28.666666666666668,33
28.75,36
28.833333333333332,33
28.916666666666668,35
29,34
29.083333333333332,32
29.166666666666668,30
29.25,34
29.333333333333332,36
29.416666666666668,36
29.5,34
29.583333333333332,32
29.666666666666668,34
29.75,34
29.833333333333332,34
29.916666666666668,29
30,29
30.083333333333332,32
30.166666666666668,35
30.25,35
30.333333333333332,33
30.416666666666668,34
30.5,33
30.583333333333332,33
30.666666666666668,36
30.75,30
30.833333333333332,32
30.916666666666668,31
31,34
31.083333333333332,35
31.166666666666668,36
31.25,36
31.333333333333332,35
31.416666666666668,30
31.5,33
31.583333333333332,32
31.666666666666668,30
31.75,34
31.833333333333332,31
31.916666666666668,30
32,38
32.083333333333336,35
32.166666666666664,34
32.25,34
32.333333333333336,31
32.416666666666664,32
32.5,31
32.583333333333336,34
32.666666666666664,34
32.75,34
32.833333333333336,37
32.916666666666664,32
33,31
33.083333333333336,37
33.166666666666664,33
33.25,33
33.333333333333336,35
33.416666666666664,34
33.5,31
33.583333333333336,33
