"Hours since thread went live","One Piece - Episode 1100 discussion"
18.333333333333332,562
18.416666666666668,563
18.5,570
18.583333333333332,571
18.666666666666668,571
18.75,570
18.833333333333332,571
18.916666666666668,575
19,575
19.083333333333332,583
19.166666666666668,580
19.25,580
19.333333333333332,583
19.416666666666668,585
19.5,585
19.583333333333332,586
19.666666666666668,594
19.75,599
19.833333333333332,599
19.916666666666668,593
20,599
20.083333333333332,598
20.166666666666668,598
20.25,597
20.333333333333332,601
20.416666666666668,605
20.5,601
20.583333333333332,608
20.666666666666668,606
20.75,614
20.833333333333332,611
20.916666666666668,614
21,612
21.083333333333332,614
21.166666666666668,614
21.25,610
21.333333333333332,618
21.416666666666668,618
21.5,613
21.583333333333332,628
21.666666666666668,623
21.75,625
21.833333333333332,624
21.916666666666668,625
22,633
22.083333333333332,634
22.166666666666668,635
22.25,641
22.333333333333332,641
22.416666666666668,644
22.5,646
22.583333333333332,648
22.666666666666668,646
22.75,646
22.833333333333332,651
22.916666666666668,657
23,652
23.083333333333332,651
23.166666666666668,653
23.25,654
23.333333333333332,657
23.416666666666668,658
23.5,660
23.583333333333332,664
23.666666666666668,666
23.75,666
23.833333333333332,668
23.916666666666668,669
24,667
24.083333333333332,662
24.166666666666668,671
24.25,671
24.333333333333332,669
24.416666666666668,672
24.5,672
24.583333333333332,671
24.666666666666668,670
24.75,676
24.833333333333332,678
24.916666666666668,675
25,676
25.083333333333332,669
25.166666666666668,673
25.25,674
25.333333333333332,676
25.416666666666668,676
25.5,673
25.583333333333332,678
25.666666666666668,680
25.75,680
25.833333333333332,678
25.916666666666668,682
26,679
26.083333333333332,680
26.166666666666668,678
26.25,679
26.333333333333332,686
26.416666666666668,682
26.5,678
26.583333333333332,679
26.666666666666668,689
26.75,679
26.833333333333332,686
26.916666666666668,687
27,685
27.083333333333332,688
27.166666666666668,689
27.25,691
27.333333333333332,691
27.416666666666668,692
27.5,690
27.583333333333332,692
27.666666666666668,694
27.75,688
27.833333333333332,698
27.916666666666668,696
28,699
28.083333333333332,698
28.166666666666668,696
28.25,696
28.333333333333332,695
28.416666666666668,699
28.5,695
28.583333333333332,705
28.666666666666668,700
28.75,702
28.833333333333332,699
28.916666666666668,696
29,697
29.083333333333332,702
29.166666666666668,707
29.25,707
29.333333333333332,705
29.416666666666668,703
29.5,706
29.583333333333332,707
29.666666666666668,700
29.75,707
29.833333333333332,706
29.916666666666668,704
30,705
30.083333333333332,711
30.166666666666668,706
30.25,711
30.333333333333332,704
30.416666666666668,706
30.5,707
30.583333333333332,710
30.666666666666668,707
30.75,709
30.833333333333332,705
30.916666666666668,710
31,707
31.083333333333332,711
31.166666666666668,710
31.25,704
31.333333333333332,712
31.416666666666668,710
31.5,707
31.583333333333332,711
31.666666666666668,714
31.75,711
31.833333333333332,710
31.916666666666668,714
32,711
32.083333333333336,716
32.166666666666664,712
32.25,714
32.333333333333336,716
32.416666666666664,714
32.5,715
32.583333333333336,718
32.666666666666664,711
32.75,717
32.833333333333336,715
32.916666666666664,718
33,717
33.083333333333336,711
33.166666666666664,711
33.25,718
33.333333333333336,720
33.416666666666664,718
33.5,715
33.583333333333336,711
33.666666666666664,709
33.75,717
33.833333333333336,721
33.916666666666664,714
34,713
34.083333333333336,715
34.166666666666664,711
34.25,717
34.333333333333336,716
34.416666666666664,717
34.5,716
34.583333333333336,711
34.666666666666664,719
34.75,719
34.833333333333336,719
34.916666666666664,715
35,716
35.083333333333336,714
35.166666666666664,721
35.25,720
35.333333333333336,713
35.416666666666664,718
35.5,719
35.583333333333336,720
35.666666666666664,722
35.75,720
35.833333333333336,718
35.916666666666664,720
36,718
36.083333333333336,721
36.166666666666664,722
36.25,720
36.333333333333336,724
36.416666666666664,720
36.5,724
36.583333333333336,721
36.666666666666664,725
36.75,724
36.833333333333336,725
36.916666666666664,725
37,723
37.083333333333336,730
37.166666666666664,722
37.25,727
37.333333333333336,731
37.416666666666664,728
37.5,725
37.583333333333336,729
37.666666666666664,727
37.75,727
37.833333333333336,728
37.916666666666664,725
38,726
38.083333333333336,733
38.166666666666664,734
38.25,730
38.333333333333336,723
38.416666666666664,733
38.5,726
38.583333333333336,728
38.666666666666664,723
38.75,730
38.833333333333336,732
38.916666666666664,732
39,730
39.083333333333336,733
39.166666666666664,730
39.25,726
39.333333333333336,730
39.416666666666664,731
39.5,731
39.583333333333336,729
39.666666666666664,725
39.75,731
39.833333333333336,727
39.916666666666664,731
40,731
40.083333333333336,732
40.166666666666664,734
40.25,733
40.333333333333336,730
40.416666666666664,728
40.5,732
40.583333333333336,732
40.666666666666664,726
40.75,737
40.833333333333336,733
40.916666666666664,731
41,734
41.083333333333336,733
41.166666666666664,732
41.25,735
41.416666666666664,732
41.5,738
41.583333333333336,738
41.666666666666664,736
41.75,738
41.833333333333336,733
41.916666666666664,738
42,735
42.083333333333336,733
42.166666666666664,740
42.25,733
42.333333333333336,733
42.416666666666664,733
42.5,732
42.583333333333336,730
42.666666666666664,730
42.75,730
42.833333333333336,735
42.916666666666664,734
43,731
43.083333333333336,735
43.166666666666664,730
43.25,730
43.333333333333336,733
43.416666666666664,730
43.5,734
43.583333333333336,732
43.666666666666664,740
43.75,734
43.833333333333336,731
43.916666666666664,739
44,732
44.083333333333336,732
44.166666666666664,739
44.25,734
44.333333333333336,739
44.416666666666664,735
44.5,738
44.583333333333336,737
44.666666666666664,735
44.75,735
44.833333333333336,737
44.916666666666664,740
45,735
45.083333333333336,737
45.166666666666664,738
45.25,736
45.333333333333336,735
45.416666666666664,740
45.5,733
45.583333333333336,738
45.666666666666664,737
45.75,743
45.833333333333336,735
45.916666666666664,740
46,745
46.083333333333336,740
46.166666666666664,745
46.25,746
46.333333333333336,739
46.416666666666664,738
46.5,743
46.583333333333336,745
46.666666666666664,742
46.75,736
