"Hours since thread went live","Sousou no Frieren • Frieren: Beyond Journey's End - Episode 16 discussion"
44.416666666666664,3784
44.5,3780
44.583333333333336,3778
44.666666666666664,3777
44.75,3783
44.833333333333336,3780
44.916666666666664,3777
45,3781
45.083333333333336,3782
45.166666666666664,3773
45.25,3778
45.333333333333336,3779
45.416666666666664,3785
45.5,3781
45.583333333333336,3778
45.666666666666664,3785
45.75,3779
45.833333333333336,3794
45.916666666666664,3790
46,3790
46.083333333333336,3792
46.166666666666664,3785
46.25,3786
46.333333333333336,3793
46.416666666666664,3782
46.5,3795
46.583333333333336,3795
46.666666666666664,3791
46.75,3797
46.833333333333336,3792
46.916666666666664,3802
47,3800
47.083333333333336,3794
47.166666666666664,3806
47.25,3803
47.333333333333336,3796
47.416666666666664,3802
47.5,3798
47.583333333333336,3795
47.666666666666664,3797
47.75,3798
47.833333333333336,3803
47.916666666666664,3797
