"Hours since thread went live","Tengoku Daimakyou • Heavenly Delusion - Episode 13 discussion - FINAL"
45.75,2829
45.833333333333336,2828
45.916666666666664,2825
46,2825
46.083333333333336,2826
46.166666666666664,2827
46.25,2833
46.333333333333336,2824
46.416666666666664,2828
46.5,2830
46.583333333333336,2827
46.666666666666664,2829
46.75,2826
46.833333333333336,2825
46.916666666666664,2833
47,2835
47.083333333333336,2832
47.166666666666664,2833
47.25,2834
47.333333333333336,2836
47.416666666666664,2830
47.5,2834
47.583333333333336,2836
47.666666666666664,2835
47.75,2841
47.833333333333336,2834
47.916666666666664,2837
