"Hours since thread went live","Tengoku Daimakyou • Heavenly Delusion - Episode 13 discussion - FINAL"
0,2
0.08333333333333333,7
0.16666666666666666,16
0.25,29
0.3333333333333333,41
0.4166666666666667,63
0.5,93
0.5833333333333334,117
0.6666666666666666,141
0.75,173
0.8333333333333334,205
0.9166666666666666,234
1,260
1.0833333333333333,274
1.1666666666666667,293
1.25,319
1.3333333333333333,342
1.4166666666666667,359
1.5,393
1.5833333333333333,422
1.6666666666666667,441
1.75,460
1.8333333333333333,485
1.9166666666666667,505
2,532
2.0833333333333335,543
2.1666666666666665,559
2.25,587
2.3333333333333335,609
2.4166666666666665,631
2.5,654
2.5833333333333335,674
2.6666666666666665,700
2.75,722
2.8333333333333335,744
2.9166666666666665,760
3,779
3.0833333333333335,796
3.1666666666666665,817
3.25,835
3.3333333333333335,856
3.4166666666666665,880
3.5,895
3.5833333333333335,920
3.6666666666666665,934
3.75,962
3.8333333333333335,974
3.9166666666666665,989
4,1010
4.083333333333333,1040
4.166666666666667,1054
4.25,1079
4.333333333333333,1092
4.416666666666667,1112
4.5,1135
4.583333333333333,1151
4.666666666666667,1166
4.75,1180
4.833333333333333,1204
4.916666666666667,1213
5,1240
5.083333333333333,1246
5.166666666666667,1255
5.25,1265
5.333333333333333,1284
5.416666666666667,1295
5.5,1308
5.583333333333333,1330
5.666666666666667,1336
5.75,1348
5.833333333333333,1361
5.916666666666667,1372
6,1392
6.083333333333333,1396
6.166666666666667,1412
6.25,1420
6.333333333333333,1425
6.416666666666667,1438
6.5,1449
6.583333333333333,1462
6.666666666666667,1474
6.75,1496
6.833333333333333,1502
6.916666666666667,1511
7,1533
7.083333333333333,1545
7.166666666666667,1557
7.25,1565
7.333333333333333,1575
7.416666666666667,1592
7.5,1603
7.583333333333333,1614
7.666666666666667,1629
7.75,1638
7.833333333333333,1646
7.916666666666667,1658
8,1669
8.083333333333334,1679
8.166666666666666,1687
8.25,1692
8.333333333333334,1711
8.416666666666666,1711
8.5,1732
8.583333333333334,1746
8.666666666666666,1760
8.75,1767
8.833333333333334,1772
8.916666666666666,1777
9,1787
9.083333333333334,1794
9.166666666666666,1802
9.25,1808
9.333333333333334,1820
9.416666666666666,1829
9.5,1836
9.583333333333334,1836
9.666666666666666,1846
9.75,1863
9.833333333333334,1863
9.916666666666666,1876
10,1885
10.083333333333334,1892
10.166666666666666,1894
10.25,1905
10.333333333333334,1909
10.416666666666666,1915
10.5,1923
10.583333333333334,1930
10.666666666666666,1939
10.75,1941
10.833333333333334,1942
10.916666666666666,1952
11,1962
11.083333333333334,1969
11.166666666666666,1970
11.25,1977
11.333333333333334,1981
11.416666666666666,1988
11.5,1994
11.583333333333334,2007
11.666666666666666,2009
11.75,2007
11.833333333333334,2013
11.916666666666666,2016
12,2025
12.083333333333334,2026
12.166666666666666,2029
12.25,2042
12.333333333333334,2045
12.416666666666666,2052
12.5,2058
12.583333333333334,2072
12.666666666666666,2072
12.75,2085
12.833333333333334,2092
12.916666666666666,2106
13,2109
13.083333333333334,2112
13.166666666666666,2118
13.25,2126
13.333333333333334,2127
13.416666666666666,2137
13.5,2140
13.583333333333334,2143
13.666666666666666,2154
13.75,2151
13.833333333333334,2168
13.916666666666666,2177
14,2180
14.083333333333334,2186
14.166666666666666,2192
14.25,2197
14.333333333333334,2199
14.416666666666666,2205
14.5,2216
14.583333333333334,2218
14.666666666666666,2216
14.75,2231
14.833333333333334,2229
14.916666666666666,2234
15,2241
15.083333333333334,2244
15.166666666666666,2249
15.25,2254
15.333333333333334,2260
15.416666666666666,2260
15.5,2271
15.583333333333334,2270
15.666666666666666,2280
15.75,2278
15.833333333333334,2277
15.916666666666666,2290
16,2286
16.083333333333332,2290
16.166666666666668,2302
16.25,2296
16.333333333333332,2310
16.416666666666668,2312
16.5,2310
16.583333333333332,2316
16.666666666666668,2319
16.75,2321
16.833333333333332,2321
16.916666666666668,2328
17,2334
17.083333333333332,2339
17.166666666666668,2340
17.25,2341
17.333333333333332,2341
17.416666666666668,2350
17.5,2357
17.583333333333332,2357
17.666666666666668,2355
17.75,2358
17.833333333333332,2359
17.916666666666668,2355
18,2364
18.083333333333332,2367
18.166666666666668,2361
18.25,2365
18.333333333333332,2367
18.416666666666668,2373
18.5,2382
18.583333333333332,2381
18.666666666666668,2381
18.75,2384
18.833333333333332,2382
18.916666666666668,2385
19,2382
19.083333333333332,2388
19.166666666666668,2388
19.25,2399
19.333333333333332,2406
19.416666666666668,2410
19.5,2414
19.583333333333332,2420
19.666666666666668,2420
19.75,2427
19.833333333333332,2429
19.916666666666668,2428
20,2430
20.083333333333332,2430
20.166666666666668,2438
20.25,2437
20.333333333333332,2447
20.416666666666668,2446
20.5,2448
20.583333333333332,2454
20.666666666666668,2453
20.75,2454
20.833333333333332,2455
20.916666666666668,2455
21,2459
21.083333333333332,2461
21.166666666666668,2469
21.25,2460
21.333333333333332,2465
21.416666666666668,2471
21.5,2478
21.583333333333332,2481
21.666666666666668,2482
21.75,2481
21.833333333333332,2482
21.916666666666668,2486
22,2488
22.083333333333332,2495
22.166666666666668,2499
22.25,2497
22.333333333333332,2500
22.416666666666668,2498
22.5,2503
22.583333333333332,2508
22.666666666666668,2506
22.75,2506
22.833333333333332,2507
22.916666666666668,2509
23,2520
23.083333333333332,2519
23.166666666666668,2523
23.25,2522
23.333333333333332,2530
23.416666666666668,2528
23.5,2533
23.583333333333332,2535
23.666666666666668,2531
23.75,2538
23.833333333333332,2535
23.916666666666668,2537
24,2542
24.083333333333332,2548
24.166666666666668,2551
24.25,2553
24.333333333333332,2558
24.416666666666668,2563
24.5,2560
24.583333333333332,2559
24.666666666666668,2566
24.75,2573
24.833333333333332,2567
24.916666666666668,2575
25,2569
25.083333333333332,2580
25.166666666666668,2581
25.25,2586
25.333333333333332,2581
25.416666666666668,2585
25.5,2586
25.583333333333332,2587
25.666666666666668,2590
25.75,2596
25.833333333333332,2599
25.916666666666668,2597
26,2594
26.083333333333332,2601
26.166666666666668,2596
26.25,2601
26.333333333333332,2605
26.416666666666668,2605
26.5,2605
26.583333333333332,2616
26.666666666666668,2616
26.75,2612
26.833333333333332,2620
26.916666666666668,2616
27,2622
27.083333333333332,2620
27.166666666666668,2617
27.25,2621
27.333333333333332,2627
27.416666666666668,2623
27.5,2627
27.583333333333332,2635
27.666666666666668,2628
27.75,2633
27.833333333333332,2637
27.916666666666668,2628
28,2640
28.083333333333332,2640
28.166666666666668,2632
28.25,2638
28.333333333333332,2642
28.416666666666668,2645
28.5,2645
28.583333333333332,2647
28.666666666666668,2651
28.75,2648
28.833333333333332,2653
28.916666666666668,2651
29,2652
29.083333333333332,2661
29.166666666666668,2659
29.25,2658
29.333333333333332,2664
29.416666666666668,2662
29.5,2668
29.583333333333332,2665
29.666666666666668,2668
29.75,2673
29.833333333333332,2669
29.916666666666668,2669
30,2670
30.083333333333332,2676
30.166666666666668,2677
30.25,2672
30.333333333333332,2680
30.416666666666668,2676
30.5,2677
30.583333333333332,2681
30.666666666666668,2685
30.75,2683
30.833333333333332,2683
30.916666666666668,2682
31,2681
31.083333333333332,2683
31.166666666666668,2691
31.25,2686
31.333333333333332,2693
31.416666666666668,2695
31.5,2696
31.583333333333332,2697
31.666666666666668,2694
31.75,2700
31.833333333333332,2698
31.916666666666668,2702
32,2700
32.083333333333336,2712
32.166666666666664,2712
32.25,2703
32.333333333333336,2705
32.416666666666664,2714
32.5,2714
32.583333333333336,2718
32.666666666666664,2713
32.75,2719
32.833333333333336,2712
32.916666666666664,2716
33,2713
33.083333333333336,2718
33.166666666666664,2716
33.25,2722
33.333333333333336,2726
33.416666666666664,2720
33.5,2724
33.583333333333336,2729
33.666666666666664,2727
33.75,2721
33.833333333333336,2727
33.916666666666664,2721
34,2728
34.083333333333336,2726
34.166666666666664,2730
34.25,2734
34.333333333333336,2729
34.416666666666664,2738
34.5,2737
34.583333333333336,2736
34.666666666666664,2739
34.75,2737
34.833333333333336,2738
34.916666666666664,2734
35,2742
35.083333333333336,2741
35.166666666666664,2741
35.25,2742
35.333333333333336,2744
35.416666666666664,2745
35.5,2745
35.583333333333336,2750
35.666666666666664,2750
35.75,2751
35.833333333333336,2748
35.916666666666664,2755
36,2756
36.083333333333336,2751
36.166666666666664,2758
36.25,2757
36.333333333333336,2754
36.416666666666664,2752
36.5,2760
36.583333333333336,2759
36.666666666666664,2762
36.75,2756
36.833333333333336,2762
36.916666666666664,2769
37,2767
37.083333333333336,2766
37.166666666666664,2759
37.25,2761
37.333333333333336,2768
37.416666666666664,2767
37.5,2766
37.583333333333336,2772
37.666666666666664,2771
37.75,2768
37.833333333333336,2772
37.916666666666664,2774
38,2771
38.083333333333336,2772
38.166666666666664,2776
38.25,2779
38.333333333333336,2775
38.416666666666664,2781
38.5,2780
38.583333333333336,2783
38.666666666666664,2778
38.75,2776
38.833333333333336,2782
38.916666666666664,2785
39,2786
39.083333333333336,2783
39.166666666666664,2781
39.25,2780
39.333333333333336,2785
39.416666666666664,2782
39.5,2783
39.583333333333336,2785
39.666666666666664,2789
39.75,2786
39.833333333333336,2786
39.916666666666664,2789
40,2794
40.083333333333336,2792
40.166666666666664,2796
40.25,2789
40.333333333333336,2790
40.416666666666664,2791
40.5,2794
40.583333333333336,2795
40.666666666666664,2793
40.75,2795
40.833333333333336,2798
40.916666666666664,2795
41,2797
41.083333333333336,2802
41.166666666666664,2804
41.25,2800
41.333333333333336,2802
41.416666666666664,2804
41.5,2807
41.583333333333336,2807
41.666666666666664,2808
41.75,2801
41.833333333333336,2805
41.916666666666664,2806
42,2804
42.083333333333336,2808
42.166666666666664,2805
42.25,2808
42.333333333333336,2811
42.416666666666664,2810
42.5,2809
42.583333333333336,2811
42.666666666666664,2811
42.75,2813
42.833333333333336,2811
42.916666666666664,2812
43,2815
43.083333333333336,2810
43.166666666666664,2813
43.25,2813
43.333333333333336,2820
43.416666666666664,2814
43.5,2811
43.583333333333336,2814
43.666666666666664,2816
43.75,2813
43.833333333333336,2817
43.916666666666664,2812
44,2812
44.083333333333336,2811
44.166666666666664,2816
44.25,2811
44.333333333333336,2819
44.416666666666664,2812
44.5,2814
44.583333333333336,2816
44.666666666666664,2821
44.75,2817
44.833333333333336,2821
44.916666666666664,2825
45,2818
45.083333333333336,2823
45.166666666666664,2816
45.25,2822
45.333333333333336,2817
45.416666666666664,2822
45.5,2829
45.583333333333336,2825
45.666666666666664,2827
