"Hours since thread went live","Boku no Kokoro no Yabai Yatsu Season 2 • The Dangers in My Heart Season 2 - Episode 12 discussion"
0,7
0.08333333333333333,18
0.16666666666666666,34
0.25,56
0.3333333333333333,70
0.4166666666666667,85
0.5,104
0.5833333333333334,124
0.6666666666666666,144
0.75,172
0.8333333333333334,188
0.9166666666666666,228
1,245
1.0833333333333333,261
1.1666666666666667,285
1.25,307
1.3333333333333333,329
1.4166666666666667,344
1.5,353
1.5833333333333333,365
1.6666666666666667,380
1.75,395
1.8333333333333333,409
1.9166666666666667,426
2,438
2.0833333333333335,444
2.1666666666666665,462
2.25,472
2.3333333333333335,480
2.4166666666666665,489
2.5,504
2.5833333333333335,516
2.6666666666666665,529
2.75,539
2.8333333333333335,549
2.9166666666666665,553
3,567
3.0833333333333335,577
3.1666666666666665,588
3.25,598
3.3333333333333335,607
3.4166666666666665,615
3.5,622
3.5833333333333335,632
3.6666666666666665,641
3.75,647
3.8333333333333335,657
3.9166666666666665,658
4,668
4.083333333333333,671
4.166666666666667,676
4.25,682
4.333333333333333,686
4.416666666666667,699
4.5,708
4.583333333333333,716
4.666666666666667,716
4.75,727
4.833333333333333,741
4.916666666666667,744
5,750
5.083333333333333,757
5.166666666666667,762
5.25,771
5.333333333333333,771
5.416666666666667,785
5.5,792
5.583333333333333,794
5.666666666666667,807
5.75,815
5.833333333333333,817
5.916666666666667,828
6,836
6.083333333333333,849
6.166666666666667,850
6.25,854
6.333333333333333,865
6.416666666666667,873
6.5,874
6.583333333333333,883
6.666666666666667,887
6.75,896
6.833333333333333,895
6.916666666666667,903
7,908
7.083333333333333,909
7.166666666666667,917
7.25,920
7.333333333333333,935
7.416666666666667,932
7.5,941
7.583333333333333,944
7.666666666666667,947
7.75,949
7.833333333333333,953
7.916666666666667,956
8,966
8.083333333333334,968
8.166666666666666,976
8.25,974
8.333333333333334,982
8.416666666666666,989
8.5,993
8.583333333333334,1007
8.666666666666666,1007
8.75,1007
8.833333333333334,1017
8.916666666666666,1018
9,1022
9.083333333333334,1019
9.166666666666666,1019
9.25,1027
9.333333333333334,1035
9.416666666666666,1037
9.5,1034
9.583333333333334,1041
9.666666666666666,1055
9.75,1052
9.833333333333334,1055
9.916666666666666,1062
10,1064
10.083333333333334,1064
10.166666666666666,1066
10.25,1071
10.333333333333334,1072
10.416666666666666,1082
10.5,1081
10.583333333333334,1092
10.666666666666666,1086
10.75,1089
10.833333333333334,1093
10.916666666666666,1102
11,1098
11.083333333333334,1103
11.166666666666666,1109
11.25,1108
11.333333333333334,1112
11.416666666666666,1116
11.5,1122
11.583333333333334,1125
11.666666666666666,1122
11.75,1127
11.833333333333334,1133
11.916666666666666,1137
12,1146
12.083333333333334,1145
12.166666666666666,1143
12.25,1153
12.333333333333334,1157
12.416666666666666,1156
12.5,1154
12.583333333333334,1154
12.666666666666666,1162
12.75,1164
12.833333333333334,1164
12.916666666666666,1169
13,1167
13.083333333333334,1165
13.166666666666666,1169
13.25,1175
13.333333333333334,1171
13.416666666666666,1179
13.5,1178
13.583333333333334,1183
13.666666666666666,1180
13.75,1192
13.833333333333334,1187
13.916666666666666,1186
14,1189
14.083333333333334,1199
14.166666666666666,1197
14.25,1194
14.333333333333334,1193
14.416666666666666,1196
14.5,1207
14.583333333333334,1203
14.666666666666666,1203
14.75,1207
14.833333333333334,1209
14.916666666666666,1209
15,1216
15.083333333333334,1214
15.166666666666666,1213
15.25,1221
15.333333333333334,1220
15.416666666666666,1224
15.5,1226
15.583333333333334,1224
15.666666666666666,1225
15.75,1225
15.833333333333334,1228
15.916666666666666,1230
16,1234
16.083333333333332,1225
16.166666666666668,1228
16.25,1237
16.333333333333332,1235
16.416666666666668,1241
16.5,1236
16.583333333333332,1239
16.666666666666668,1240
16.75,1239
16.833333333333332,1237
16.916666666666668,1248
17,1243
17.083333333333332,1245
17.166666666666668,1249
17.25,1252
17.333333333333332,1243
17.416666666666668,1245
17.5,1248
17.583333333333332,1251
17.666666666666668,1251
17.75,1245
17.833333333333332,1251
17.916666666666668,1255
18,1254
18.083333333333332,1257
18.166666666666668,1251
18.25,1259
18.333333333333332,1260
18.416666666666668,1263
18.5,1265
18.583333333333332,1266
18.666666666666668,1270
18.75,1275
18.833333333333332,1270
18.916666666666668,1271
19,1275
19.083333333333332,1275
19.166666666666668,1281
19.25,1279
19.333333333333332,1278
19.416666666666668,1283
19.5,1282
19.583333333333332,1287
19.666666666666668,1290
19.75,1289
19.833333333333332,1293
19.916666666666668,1297
20,1293
20.083333333333332,1303
20.166666666666668,1294
20.25,1300
20.333333333333332,1296
20.416666666666668,1308
20.5,1304
20.583333333333332,1302
20.666666666666668,1304
20.75,1302
20.833333333333332,1307
20.916666666666668,1312
21,1312
21.083333333333332,1310
21.166666666666668,1315
21.25,1313
21.333333333333332,1312
21.416666666666668,1313
21.5,1313
21.583333333333332,1320
21.666666666666668,1317
21.75,1323
21.833333333333332,1319
21.916666666666668,1325
22,1325
22.083333333333332,1329
22.166666666666668,1327
22.25,1335
22.333333333333332,1332
22.416666666666668,1337
22.5,1339
22.583333333333332,1345
22.666666666666668,1343
22.75,1340
22.833333333333332,1342
22.916666666666668,1343
23,1345
23.083333333333332,1348
23.166666666666668,1349
23.25,1344
23.333333333333332,1346
23.416666666666668,1346
23.5,1351
23.583333333333332,1350
23.666666666666668,1354
23.75,1348
23.833333333333332,1349
23.916666666666668,1353
24,1355
24.083333333333332,1352
24.166666666666668,1359
24.25,1360
24.333333333333332,1362
24.416666666666668,1359
24.5,1360
24.583333333333332,1364
24.666666666666668,1365
24.75,1370
24.833333333333332,1366
24.916666666666668,1366
25,1368
25.083333333333332,1366
25.166666666666668,1368
25.25,1371
25.333333333333332,1377
25.416666666666668,1374
25.5,1374
25.583333333333332,1371
25.666666666666668,1370
25.75,1374
25.833333333333332,1379
25.916666666666668,1381
26,1377
26.083333333333332,1378
26.166666666666668,1380
26.25,1381
26.333333333333332,1379
26.416666666666668,1384
26.5,1381
26.583333333333332,1379
26.666666666666668,1386
26.75,1386
26.833333333333332,1384
