"Hours since thread went live","Oshi no Ko - Episode 11 discussion - FINAL"
0,5
0,17
0.08333333333333333,57
0.16666666666666666,93
0.25,139
0.3333333333333333,193
0.4166666666666667,252
0.5,307
0.5833333333333334,377
0.6666666666666666,431
0.75,498
0.8333333333333334,565
0.9166666666666666,611
1,656
1.0833333333333333,713
1.1666666666666667,767
1.25,825
1.3333333333333333,878
1.4166666666666667,917
1.5,971
1.5833333333333333,1014
1.6666666666666667,1055
1.75,1096
1.8333333333333333,1139
1.9166666666666667,1190
2,1234
2.0833333333333335,1301
2.1666666666666665,1335
2.25,1391
2.3333333333333335,1458
2.4166666666666665,1498
2.5,1550
2.5833333333333335,1588
2.6666666666666665,1653
2.75,1691
2.8333333333333335,1726
2.9166666666666665,1772
3,1822
3.0833333333333335,1869
3.1666666666666665,1903
3.25,1939
3.3333333333333335,1977
3.4166666666666665,2015
3.5,2061
3.5833333333333335,2102
3.6666666666666665,2140
3.75,2177
3.8333333333333335,2203
3.9166666666666665,2231
4,2272
4.083333333333333,2302
4.166666666666667,2340
4.25,2356
4.333333333333333,2393
4.416666666666667,2437
4.5,2471
4.583333333333333,2502
4.666666666666667,2537
4.75,2562
4.833333333333333,2597
4.916666666666667,2633
5,2657
5.083333333333333,2689
5.166666666666667,2707
5.25,2746
5.333333333333333,2756
5.416666666666667,2778
5.5,2805
5.583333333333333,2839
5.666666666666667,2859
5.75,2893
5.833333333333333,2928
5.916666666666667,2945
6,2976
6.083333333333333,2996
6.166666666666667,3027
6.25,3054
6.333333333333333,3067
6.416666666666667,3087
6.5,3110
6.583333333333333,3130
6.666666666666667,3160
6.75,3170
6.833333333333333,3187
6.916666666666667,3216
7,3235
7.083333333333333,3269
7.166666666666667,3283
7.25,3300
7.333333333333333,3325
7.416666666666667,3349
7.5,3374
7.583333333333333,3392
7.666666666666667,3418
7.75,3432
7.833333333333333,3457
7.916666666666667,3481
8,3496
8.083333333333334,3529
8.166666666666666,3549
8.25,3578
8.333333333333334,3592
8.416666666666666,3623
8.5,3651
8.583333333333334,3679
8.666666666666666,3706
8.75,3735
8.833333333333334,3753
8.916666666666666,3775
9,3791
9.083333333333334,3814
9.166666666666666,3828
9.25,3860
9.333333333333334,3880
9.416666666666666,3893
9.5,3907
9.583333333333334,3919
9.666666666666666,3937
9.75,3953
9.833333333333334,3971
9.916666666666666,3997
10,4023
10.083333333333334,4048
10.166666666666666,4063
10.25,4086
10.333333333333334,4104
10.416666666666666,4126
10.5,4136
10.583333333333334,4149
10.666666666666666,4170
10.75,4187
10.833333333333334,4204
11,4221
11.083333333333334,4252
11.166666666666666,4267
11.25,4289
11.333333333333334,4297
11.416666666666666,4309
11.5,4323
11.583333333333334,4336
11.666666666666666,4356
11.75,4377
11.833333333333334,4389
11.916666666666666,4406
12,4426
12.083333333333334,4440
12.166666666666666,4452
12.25,4462
12.333333333333334,4482
12.416666666666666,4507
12.5,4510
12.583333333333334,4528
12.75,4574
12.833333333333334,4590
12.916666666666666,4606
13,4615
13.083333333333334,4628
13.166666666666666,4651
13.25,4667
13.333333333333334,4679
13.416666666666666,4696
13.5,4708
13.583333333333334,4724
13.666666666666666,4743
13.75,4765
13.833333333333334,4784
13.916666666666666,4789
14,4803
14.083333333333334,4831
14.166666666666666,4840
14.25,4856
14.333333333333334,4863
14.416666666666666,4885
14.5,4892
14.583333333333334,4912
14.666666666666666,4923
14.75,4950
14.833333333333334,4959
14.916666666666666,4969
15,4991
15.083333333333334,4995
15.166666666666666,5005
15.25,5020
15.333333333333334,5030
15.416666666666666,5042
15.5,5050
15.583333333333334,5063
15.666666666666666,5073
15.75,5075
15.833333333333334,5095
15.916666666666666,5106
16,5116
16.083333333333332,5139
16.166666666666668,5136
16.25,5147
16.333333333333332,5150
16.416666666666668,5155
16.5,5172
16.583333333333332,5176
16.666666666666668,5178
16.75,5198
16.833333333333332,5197
16.916666666666668,5204
17,5218
17.083333333333332,5226
17.166666666666668,5234
17.25,5244
17.333333333333332,5254
17.416666666666668,5262
17.5,5269
17.583333333333332,5271
17.666666666666668,5279
17.75,5282
17.833333333333332,5286
17.916666666666668,5297
18,5294
18.083333333333332,5307
18.166666666666668,5315
18.25,5317
18.333333333333332,5328
18.416666666666668,5338
18.5,5340
18.583333333333332,5359
18.666666666666668,5364
18.75,5376
18.833333333333332,5381
18.916666666666668,5386
19,5388
19.083333333333332,5390
19.166666666666668,5399
19.25,5410
19.333333333333332,5410
19.416666666666668,5411
19.5,5413
19.583333333333332,5409
19.666666666666668,5417
19.75,5431
19.833333333333332,5426
19.916666666666668,5422
20,5426
20.083333333333332,5440
20.166666666666668,5449
20.25,5461
20.333333333333332,5461
20.416666666666668,5471
20.5,5471
20.583333333333332,5486
20.666666666666668,5484
20.75,5490
20.833333333333332,5497
20.916666666666668,5501
21.083333333333332,5506
21.166666666666668,5512
21.25,5510
21.333333333333332,5516
21.416666666666668,5527
21.5,5526
21.583333333333332,5527
21.666666666666668,5530
21.75,5529
21.833333333333332,5542
