"Hours since thread went live","Oshi no Ko - Episode 11 discussion - FINAL"
21.916666666666668,5544
22,5548
22.083333333333332,5546
22.166666666666668,5554
22.25,5556
22.333333333333332,5554
22.416666666666668,5562
22.5,5563
22.583333333333332,5571
22.666666666666668,5577
22.75,5580
22.833333333333332,5582
22.916666666666668,5593
23,5594
23.083333333333332,5598
23.166666666666668,5596
23.25,5604
23.333333333333332,5606
23.416666666666668,5614
23.5,5618
23.583333333333332,5616
23.666666666666668,5629
23.75,5627
23.833333333333332,5631
23.916666666666668,5633
24,5641
24.083333333333332,5639
24.166666666666668,5638
24.25,5643
24.333333333333332,5652
24.416666666666668,5661
24.5,5665
24.583333333333332,5672
24.666666666666668,5668
24.75,5676
24.833333333333332,5683
24.916666666666668,5696
25,5697
25.083333333333332,5695
25.166666666666668,5707
25.25,5710
25.333333333333332,5714
25.416666666666668,5713
25.5,5722
25.583333333333332,5725
25.666666666666668,5728
25.75,5732
25.833333333333332,5736
25.916666666666668,5741
26,5738
26.083333333333332,5752
26.166666666666668,5752
26.25,5762
26.333333333333332,5761
26.416666666666668,5757
26.5,5760
26.583333333333332,5767
26.666666666666668,5762
26.75,5761
26.833333333333332,5776
26.916666666666668,5776
27,5773
27.083333333333332,5778
27.166666666666668,5781
27.25,5787
27.333333333333332,5793
27.416666666666668,5789
27.5,5784
27.583333333333332,5796
27.666666666666668,5798
27.75,5805
27.833333333333332,5812
27.916666666666668,5808
28,5811
28.083333333333332,5822
28.166666666666668,5828
28.25,5821
28.333333333333332,5825
28.416666666666668,5831
28.5,5833
28.583333333333332,5842
28.666666666666668,5840
28.75,5849
28.833333333333332,5843
28.916666666666668,5840
29,5843
29.083333333333332,5848
29.166666666666668,5850
29.25,5847
29.333333333333332,5851
29.416666666666668,5855
29.5,5851
29.583333333333332,5852
29.666666666666668,5862
29.75,5865
29.833333333333332,5867
29.916666666666668,5873
30,5877
30.083333333333332,5881
30.166666666666668,5872
30.25,5890
30.333333333333332,5886
30.416666666666668,5880
30.5,5889
30.583333333333332,5894
30.666666666666668,5898
30.75,5898
30.833333333333332,5900
30.916666666666668,5896
31,5903
31.083333333333332,5901
31.166666666666668,5907
31.25,5915
31.333333333333332,5909
31.416666666666668,5920
31.5,5921
31.583333333333332,5925
31.666666666666668,5931
31.75,5934
31.833333333333332,5925
31.916666666666668,5928
32,5924
32.083333333333336,5925
32.166666666666664,5926
32.25,5937
32.333333333333336,5940
32.416666666666664,5938
32.5,5946
32.583333333333336,5942
32.666666666666664,5942
32.75,5949
32.833333333333336,5951
32.916666666666664,5955
33,5960
33.083333333333336,5952
33.166666666666664,5954
33.25,5953
33.333333333333336,5959
33.416666666666664,5965
33.5,5960
33.583333333333336,5968
33.666666666666664,5974
33.75,5960
33.833333333333336,5966
33.916666666666664,5968
34,5963
34.083333333333336,5975
34.166666666666664,5971
34.25,5974
34.333333333333336,5979
34.416666666666664,5988
34.5,5973
34.583333333333336,5979
34.666666666666664,5987
34.75,5985
34.833333333333336,5989
34.916666666666664,5987
35,6000
35.083333333333336,5990
35.166666666666664,5996
35.25,5995
35.333333333333336,6003
35.416666666666664,6000
35.5,6004
35.583333333333336,6005
35.666666666666664,6014
35.75,6016
35.833333333333336,6013
35.916666666666664,6022
36,6022
36.083333333333336,6019
36.166666666666664,6016
36.25,6033
36.333333333333336,6031
36.416666666666664,6030
36.5,6027
36.583333333333336,6035
36.666666666666664,6041
36.75,6037
36.833333333333336,6043
36.916666666666664,6047
37,6045
37.083333333333336,6047
37.166666666666664,6048
37.25,6046
37.333333333333336,6055
37.416666666666664,6057
37.5,6060
37.583333333333336,6057
37.666666666666664,6064
37.75,6057
37.833333333333336,6067
37.916666666666664,6064
38,6062
38.083333333333336,6066
38.166666666666664,6065
38.25,6070
38.333333333333336,6070
38.416666666666664,6073
38.5,6084
38.583333333333336,6076
38.666666666666664,6075
38.75,6084
38.833333333333336,6073
38.916666666666664,6085
39,6081
39.083333333333336,6086
39.166666666666664,6088
39.25,6083
39.333333333333336,6094
39.416666666666664,6084
39.5,6089
39.583333333333336,6093
39.666666666666664,6087
39.75,6095
39.833333333333336,6092
39.916666666666664,6098
40,6095
40.083333333333336,6097
40.166666666666664,6096
40.25,6110
40.333333333333336,6103
40.416666666666664,6107
40.5,6105
40.583333333333336,6113
40.666666666666664,6106
40.75,6109
40.833333333333336,6106
40.916666666666664,6109
41,6113
41.083333333333336,6116
41.166666666666664,6121
41.25,6115
41.333333333333336,6115
41.416666666666664,6118
41.5,6120
41.583333333333336,6121
41.666666666666664,6114
41.75,6124
41.833333333333336,6128
41.916666666666664,6122
42,6121
42.083333333333336,6121
42.166666666666664,6125
42.25,6131
42.333333333333336,6131
42.416666666666664,6130
42.5,6125
42.583333333333336,6131
42.666666666666664,6132
42.75,6133
42.833333333333336,6137
42.916666666666664,6128
43,6132
43.083333333333336,6129
43.166666666666664,6135
43.25,6132
43.333333333333336,6141
43.416666666666664,6140
43.5,6142
43.583333333333336,6139
43.666666666666664,6147
43.75,6137
43.833333333333336,6147
43.916666666666664,6145
44,6145
44.083333333333336,6151
44.166666666666664,6154
44.25,6149
44.333333333333336,6149
44.416666666666664,6154
44.5,6149
44.583333333333336,6152
44.666666666666664,6153
44.75,6154
44.833333333333336,6155
44.916666666666664,6163
45,6156
45.083333333333336,6159
45.166666666666664,6159
45.25,6165
45.333333333333336,6163
45.416666666666664,6161
45.5,6167
45.583333333333336,6167
45.666666666666664,6161
45.75,6171
45.833333333333336,6168
45.916666666666664,6171
46,6163
46.083333333333336,6166
46.166666666666664,6164
46.25,6166
46.333333333333336,6173
46.416666666666664,6175
46.5,6169
46.583333333333336,6180
46.666666666666664,6180
46.75,6174
46.833333333333336,6178
46.916666666666664,6183
47.083333333333336,6188
47.166666666666664,6188
47.25,6182
47.333333333333336,6183
47.416666666666664,6185
47.5,6186
47.583333333333336,6194
47.666666666666664,6193
47.75,6185
47.833333333333336,6188
47.916666666666664,6190
