"Hours since thread went live","Nijiyon Animation Season 2 - Episode 1 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,0
0.25,1
0.3333333333333333,2
0.4166666666666667,3
0.5,3
0.5833333333333334,5
0.6666666666666666,4
0.75,4
0.8333333333333334,7
0.9166666666666666,7
1,9
1.0833333333333333,9
1.1666666666666667,8
1.25,8
1.3333333333333333,9
1.4166666666666667,9
1.5,10
1.5833333333333333,12
1.6666666666666667,12
1.75,14
1.8333333333333333,15
1.9166666666666667,17
2,17
2.0833333333333335,18
2.1666666666666665,18
2.25,17
2.3333333333333335,18
2.4166666666666665,18
2.5,17
2.5833333333333335,19
2.6666666666666665,21
2.75,20
2.8333333333333335,23
2.9166666666666665,21
3,23
3.0833333333333335,25
3.1666666666666665,25
3.25,27
3.3333333333333335,24
3.4166666666666665,24
3.5,29
3.5833333333333335,27
3.6666666666666665,31
3.75,31
3.8333333333333335,31
3.9166666666666665,32
4,34
4.083333333333333,33
4.166666666666667,35
4.25,35
4.333333333333333,29
4.416666666666667,35
4.5,33
4.583333333333333,31
4.666666666666667,37
4.75,30
4.833333333333333,33
4.916666666666667,36
5,35
5.083333333333333,32
5.166666666666667,34
5.25,34
5.333333333333333,38
5.416666666666667,35
5.5,35
5.583333333333333,35
5.666666666666667,33
5.75,35
5.833333333333333,39
5.916666666666667,39
6,36
6.083333333333333,38
6.166666666666667,37
6.25,36
6.333333333333333,39
6.416666666666667,41
6.5,39
6.583333333333333,43
6.666666666666667,40
6.75,42
6.833333333333333,38
6.916666666666667,40
7,40
7.083333333333333,42
7.166666666666667,41
7.25,42
7.333333333333333,39
7.416666666666667,42
7.5,40
7.583333333333333,44
7.666666666666667,42
7.75,45
7.833333333333333,43
7.916666666666667,48
8,44
8.083333333333334,43
8.166666666666666,47
8.25,44
8.333333333333334,46
8.416666666666666,48
8.5,47
8.583333333333334,51
8.666666666666666,50
8.75,46
8.833333333333334,48
8.916666666666666,48
9,45
9.083333333333334,47
9.166666666666666,50
9.25,45
9.333333333333334,46
9.416666666666666,44
9.5,46
9.583333333333334,49
9.666666666666666,51
9.75,47
9.833333333333334,47
9.916666666666666,44
10,45
10.083333333333334,47
10.166666666666666,48
10.25,47
10.333333333333334,48
10.416666666666666,47
10.5,47
10.583333333333334,47
10.666666666666666,50
10.75,47
10.833333333333334,50
10.916666666666666,50
11,48
11.083333333333334,47
11.166666666666666,49
11.25,49
11.333333333333334,52
11.416666666666666,47
11.5,48
11.583333333333334,47
11.666666666666666,49
11.75,50
11.833333333333334,46
11.916666666666666,46
12,47
12.083333333333334,49
12.166666666666666,50
12.25,47
12.333333333333334,47
12.416666666666666,47
12.5,46
12.583333333333334,48
12.666666666666666,48
12.75,49
12.833333333333334,46
12.916666666666666,50
13,50
13.083333333333334,48
13.166666666666666,53
13.25,48
13.333333333333334,52
13.416666666666666,49
13.5,48
13.583333333333334,47
13.666666666666666,49
13.75,47
13.833333333333334,52
13.916666666666666,49
14,48
14.083333333333334,52
14.166666666666666,52
14.25,48
14.333333333333334,46
14.416666666666666,50
14.5,53
14.583333333333334,50
14.666666666666666,48
14.75,51
14.833333333333334,51
14.916666666666666,50
15,50
15.083333333333334,53
15.166666666666666,48
15.25,50
15.333333333333334,53
15.416666666666666,52
15.5,47
15.583333333333334,52
15.666666666666666,52
15.75,55
15.833333333333334,52
15.916666666666666,50
16,56
16.083333333333332,55
16.166666666666668,51
16.25,52
16.333333333333332,49
16.416666666666668,48
16.5,50
16.583333333333332,54
16.666666666666668,54
16.75,53
16.833333333333332,52
16.916666666666668,49
17,55
17.083333333333332,53
17.166666666666668,51
17.25,51
17.333333333333332,52
17.416666666666668,55
17.5,53
17.583333333333332,57
17.666666666666668,54
17.75,54
17.833333333333332,52
17.916666666666668,53
18,55
18.083333333333332,55
18.166666666666668,55
18.25,53
18.333333333333332,50
18.416666666666668,54
18.5,54
18.583333333333332,52
18.666666666666668,52
18.75,54
18.833333333333332,52
18.916666666666668,55
19,50
19.083333333333332,53
19.166666666666668,56
19.25,53
19.333333333333332,52
19.416666666666668,54
19.5,54
19.583333333333332,53
19.666666666666668,52
19.75,57
19.833333333333332,57
19.916666666666668,54
20,52
20.083333333333332,56
20.166666666666668,53
20.25,56
20.333333333333332,53
20.416666666666668,52
20.5,52
20.583333333333332,55
20.666666666666668,52
20.75,55
20.833333333333332,58
20.916666666666668,53
21,58
21.083333333333332,52
21.166666666666668,57
21.25,55
21.333333333333332,58
21.416666666666668,56
21.5,58
21.583333333333332,57
21.666666666666668,58
21.75,57
21.833333333333332,51
21.916666666666668,53
22,57
22.083333333333332,52
22.166666666666668,59
22.25,53
22.333333333333332,53
22.416666666666668,59
22.5,59
22.583333333333332,57
22.666666666666668,59
22.75,58
22.833333333333332,55
22.916666666666668,59
23,56
23.083333333333332,53
23.166666666666668,54
23.25,57
23.333333333333332,56
23.416666666666668,57
23.5,53
23.583333333333332,57
23.666666666666668,53
23.75,54
23.833333333333332,53
23.916666666666668,53
24,55
24.083333333333332,57
24.166666666666668,57
24.25,59
24.333333333333332,58
24.416666666666668,62
24.5,61
24.583333333333332,59
24.666666666666668,58
24.75,58
24.833333333333332,55
24.916666666666668,58
25,58
25.083333333333332,58
25.166666666666668,57
25.25,57
25.333333333333332,62
25.416666666666668,58
25.5,58
25.583333333333332,59
25.666666666666668,60
25.75,59
25.833333333333332,58
25.916666666666668,62
26,62
26.083333333333332,61
26.166666666666668,57
26.25,57
26.333333333333332,59
26.416666666666668,59
26.5,56
26.583333333333332,56
26.666666666666668,55
26.75,56
26.833333333333332,59
26.916666666666668,62
27,59
27.083333333333332,55
27.166666666666668,60
27.25,58
27.333333333333332,60
27.416666666666668,59
27.5,58
27.583333333333332,62
27.666666666666668,60
27.75,58
27.833333333333332,61
27.916666666666668,59
28,59
28.083333333333332,59
28.166666666666668,59
28.25,60
28.333333333333332,58
28.416666666666668,57
28.5,57
28.583333333333332,58
28.666666666666668,56
28.75,58
28.833333333333332,58
28.916666666666668,55
29,60
29.083333333333332,56
29.166666666666668,56
29.25,59
29.333333333333332,56
29.416666666666668,56
29.5,56
29.583333333333332,56
29.666666666666668,57
29.75,61
29.833333333333332,55
29.916666666666668,59
30,59
30.083333333333332,58
30.166666666666668,62
30.25,59
30.333333333333332,63
30.416666666666668,63
30.5,59
30.583333333333332,56
30.666666666666668,56
30.75,57
30.833333333333332,59
30.916666666666668,57
31,61
31.083333333333332,60
31.166666666666668,60
31.25,61
31.333333333333332,59
31.416666666666668,58
31.5,59
31.583333333333332,58
31.666666666666668,59
31.75,62
31.833333333333332,56
31.916666666666668,59
32,61
32.083333333333336,55
32.166666666666664,59
32.25,59
32.333333333333336,61
32.416666666666664,56
32.5,55
32.583333333333336,58
32.666666666666664,56
32.75,56
32.833333333333336,61
32.916666666666664,55
33,62
33.083333333333336,60
33.166666666666664,56
33.25,57
33.333333333333336,60
33.416666666666664,60
33.5,62
33.583333333333336,56
33.666666666666664,59
33.75,58
33.833333333333336,63
33.916666666666664,57
34,62
34.083333333333336,62
34.166666666666664,58
34.25,61
34.333333333333336,61
34.416666666666664,58
34.5,59
34.583333333333336,56
34.666666666666664,61
34.75,60
34.833333333333336,57
34.916666666666664,60
35,60
35.083333333333336,61
35.166666666666664,58
35.25,61
35.333333333333336,58
35.416666666666664,56
35.5,57
