"Hours since thread went live","Yozakura-san Chi no Daisakusen • Mission: Yozakura Family - Episode 7 discussion"
21.666666666666668,273
21.75,275
21.833333333333332,274
21.916666666666668,274
22,274
22.083333333333332,278
22.166666666666668,273
22.25,277
22.333333333333332,279
22.416666666666668,279
22.5,278
22.583333333333332,276
22.666666666666668,280
22.75,281
22.833333333333332,281
22.916666666666668,279
23,281
23.083333333333332,276
23.166666666666668,283
23.25,280
23.333333333333332,282
23.416666666666668,285
23.5,286
23.583333333333332,280
23.666666666666668,282
23.75,282
23.833333333333332,282
23.916666666666668,285
24,285
24.083333333333332,287
24.166666666666668,289
24.25,286
24.333333333333332,287
24.416666666666668,288
24.5,288
24.583333333333332,283
24.666666666666668,285
24.75,289
24.833333333333332,284
24.916666666666668,286
25,290
25.083333333333332,291
25.166666666666668,285
25.25,291
25.333333333333332,286
25.416666666666668,285
25.5,287
25.583333333333332,285
25.666666666666668,285
25.75,289
25.833333333333332,288
25.916666666666668,288
26,291
26.083333333333332,286
26.166666666666668,286
26.25,286
26.333333333333332,286
26.416666666666668,292
26.5,289
26.583333333333332,292
26.666666666666668,291
26.75,288
26.833333333333332,292
26.916666666666668,289
27,290
27.083333333333332,288
27.166666666666668,291
27.25,291
27.333333333333332,293
27.416666666666668,287
27.5,293
27.583333333333332,295
27.666666666666668,289
27.75,294
27.833333333333332,293
27.916666666666668,291
28,290
28.083333333333332,293
28.166666666666668,292
28.25,293
28.333333333333332,295
28.416666666666668,292
28.5,294
28.583333333333332,293
28.666666666666668,288
28.75,291
28.833333333333332,294
28.916666666666668,291
29,296
29.083333333333332,295
29.166666666666668,298
29.25,294
29.333333333333332,294
29.416666666666668,292
29.5,295
29.583333333333332,293
29.666666666666668,293
29.75,295
29.833333333333332,295
29.916666666666668,296
30,292
30.083333333333332,293
30.166666666666668,297
30.25,296
30.333333333333332,295
30.416666666666668,295
30.5,296
30.583333333333332,298
30.666666666666668,297
30.75,297
30.833333333333332,294
30.916666666666668,295
31,295
31.083333333333332,293
31.166666666666668,295
31.25,295
31.333333333333332,293
31.416666666666668,291
31.5,296
31.583333333333332,294
31.666666666666668,294
31.75,297
31.833333333333332,295
31.916666666666668,295
32,298
32.083333333333336,296
32.166666666666664,299
32.25,296
32.333333333333336,298
32.416666666666664,298
32.5,299
32.583333333333336,299
32.666666666666664,299
32.75,296
32.833333333333336,299
32.916666666666664,295
33,301
33.083333333333336,299
33.166666666666664,299
33.25,303
33.333333333333336,295
33.416666666666664,299
33.5,296
33.583333333333336,300
33.666666666666664,298
33.75,300
33.833333333333336,299
33.916666666666664,297
34,301
34.083333333333336,300
34.166666666666664,299
34.25,303
34.333333333333336,300
34.416666666666664,300
34.5,300
34.583333333333336,300
34.666666666666664,304
34.75,302
34.833333333333336,298
34.916666666666664,300
35,301
35.083333333333336,302
35.166666666666664,303
35.25,303
35.333333333333336,301
35.416666666666664,300
35.5,302
35.583333333333336,303
35.666666666666664,301
35.75,297
35.833333333333336,299
35.916666666666664,298
36,303
36.083333333333336,304
36.166666666666664,301
36.25,301
36.333333333333336,302
36.416666666666664,303
36.5,299
36.583333333333336,298
36.666666666666664,303
36.75,302
36.833333333333336,298
36.916666666666664,301
37,298
37.083333333333336,303
37.166666666666664,298
37.25,304
37.333333333333336,301
37.416666666666664,302
37.5,301
37.583333333333336,300
37.666666666666664,303
37.75,308
37.833333333333336,305
37.916666666666664,307
38,304
38.083333333333336,304
38.166666666666664,304
38.25,305
38.333333333333336,304
38.416666666666664,305
38.5,304
38.583333333333336,306
38.666666666666664,303
38.75,303
38.833333333333336,306
38.916666666666664,308
39,304
39.083333333333336,304
39.166666666666664,306
39.25,302
39.333333333333336,305
39.416666666666664,303
39.5,309
39.583333333333336,307
39.666666666666664,309
39.75,308
39.833333333333336,310
39.916666666666664,305
40,308
40.083333333333336,309
40.166666666666664,305
40.25,308
40.333333333333336,307
40.416666666666664,307
40.5,307
40.583333333333336,304
40.666666666666664,311
40.75,306
40.833333333333336,308
40.916666666666664,308
41,309
41.083333333333336,309
41.166666666666664,306
41.25,310
41.333333333333336,305
41.416666666666664,307
41.5,308
41.583333333333336,307
41.666666666666664,307
41.75,306
41.833333333333336,306
41.916666666666664,305
42,306
42.083333333333336,311
42.166666666666664,304
42.25,305
42.333333333333336,308
42.416666666666664,308
42.5,308
42.583333333333336,310
42.666666666666664,311
42.75,306
42.833333333333336,308
42.916666666666664,308
43,311
43.083333333333336,305
43.166666666666664,312
43.25,306
43.333333333333336,309
43.416666666666664,310
43.5,307
43.583333333333336,305
43.666666666666664,305
43.75,306
43.833333333333336,309
43.916666666666664,310
44,313
44.083333333333336,312
44.166666666666664,306
44.25,311
44.333333333333336,312
44.416666666666664,310
44.5,309
44.583333333333336,310
44.666666666666664,308
44.75,310
44.833333333333336,311
44.916666666666664,308
45,311
45.083333333333336,309
45.166666666666664,311
45.25,309
45.333333333333336,307
45.416666666666664,313
45.5,311
45.583333333333336,312
45.666666666666664,313
45.75,313
45.833333333333336,312
45.916666666666664,309
46,312
46.083333333333336,313
46.166666666666664,309
46.25,308
46.333333333333336,310
46.416666666666664,308
46.5,310
46.583333333333336,313
46.666666666666664,310
46.75,306
46.833333333333336,307
46.916666666666664,310
47,309
47.083333333333336,309
47.166666666666664,308
47.25,313
47.333333333333336,310
47.416666666666664,314
47.5,309
47.583333333333336,310
47.666666666666664,309
47.75,311
47.833333333333336,311
47.916666666666664,311
