"Hours since thread went live","Hikari no Ou Season 2 • The Fire Hunter Season 2 - Episode 18 discussion"
39,73
39.083333333333336,72
39.166666666666664,73
39.25,69
39.333333333333336,72
39.416666666666664,72
39.5,72
39.583333333333336,71
39.666666666666664,75
39.75,75
39.833333333333336,68
39.916666666666664,71
40,69
40.083333333333336,73
40.166666666666664,71
40.25,75
40.333333333333336,72
40.416666666666664,73
40.5,74
40.583333333333336,73
40.666666666666664,74
40.75,73
40.833333333333336,74
40.916666666666664,74
41,71
41.083333333333336,75
41.166666666666664,73
41.25,70
41.333333333333336,76
41.416666666666664,74
41.5,75
41.583333333333336,73
41.666666666666664,70
41.75,74
41.833333333333336,70
41.916666666666664,70
42,75
42.083333333333336,77
42.166666666666664,74
42.25,74
42.333333333333336,73
42.416666666666664,75
42.5,73
42.583333333333336,72
42.666666666666664,73
42.75,74
42.833333333333336,70
42.916666666666664,76
43,75
43.083333333333336,72
43.166666666666664,71
43.25,73
43.333333333333336,73
43.416666666666664,72
43.5,75
43.583333333333336,70
43.666666666666664,73
43.75,77
43.833333333333336,71
43.916666666666664,72
44,75
44.083333333333336,73
44.166666666666664,76
44.25,71
44.333333333333336,71
44.416666666666664,76
44.5,73
44.583333333333336,75
44.666666666666664,74
44.75,76
44.833333333333336,70
44.916666666666664,76
45,73
45.083333333333336,73
45.166666666666664,74
45.25,74
45.333333333333336,74
45.416666666666664,76
45.5,70
45.583333333333336,76
45.666666666666664,74
45.75,74
45.833333333333336,75
45.916666666666664,72
46,71
46.083333333333336,74
46.166666666666664,76
46.25,72
46.333333333333336,71
46.416666666666664,73
46.5,76
46.583333333333336,73
46.666666666666664,74
46.75,76
46.833333333333336,75
46.916666666666664,74
47,73
47.083333333333336,73
47.166666666666664,74
47.25,73
47.333333333333336,71
47.416666666666664,74
47.5,75
47.583333333333336,76
47.666666666666664,71
47.75,69
47.833333333333336,76
47.916666666666664,75
