"Hours since thread went live","Pon no Michi • The Way of Pon - Episode 11 discussion"
0,1
0.08333333333333333,0
0.16666666666666666,1
0.25,2
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,2
0.6666666666666666,1
0.75,1
0.8333333333333334,1
0.9166666666666666,1
1,1
1.0833333333333333,3
1.1666666666666667,4
1.25,4
1.3333333333333333,5
1.4166666666666667,4
1.5,5
1.5833333333333333,8
1.6666666666666667,8
1.75,7
1.8333333333333333,8
1.9166666666666667,10
2,9
2.0833333333333335,10
2.1666666666666665,11
2.25,12
2.3333333333333335,11
2.4166666666666665,13
2.5,13
2.5833333333333335,13
2.6666666666666665,12
2.75,14
2.8333333333333335,13
2.9166666666666665,14
3,12
3.0833333333333335,14
3.1666666666666665,14
3.25,13
3.3333333333333335,14
3.4166666666666665,12
3.5,13
3.5833333333333335,16
3.6666666666666665,16
3.75,15
3.8333333333333335,16
3.9166666666666665,17
4,16
4.083333333333333,19
4.166666666666667,19
4.25,21
4.333333333333333,21
4.416666666666667,21
4.5,22
4.583333333333333,23
4.666666666666667,23
4.75,23
4.833333333333333,25
4.916666666666667,24
5,23
5.083333333333333,26
5.166666666666667,25
5.25,26
5.333333333333333,23
5.416666666666667,25
5.5,26
5.583333333333333,25
5.666666666666667,26
5.75,25
5.833333333333333,24
5.916666666666667,23
6,25
6.083333333333333,24
6.166666666666667,27
6.25,25
6.333333333333333,25
6.416666666666667,26
6.5,24
6.583333333333333,26
6.666666666666667,27
6.75,27
6.833333333333333,25
6.916666666666667,27
7,25
7.083333333333333,26
7.166666666666667,27
7.25,25
7.333333333333333,27
7.416666666666667,28
7.5,28
7.583333333333333,26
7.666666666666667,26
7.75,28
7.833333333333333,27
7.916666666666667,26
8,27
8.083333333333334,25
8.166666666666666,26
8.25,27
8.333333333333334,26
8.416666666666666,28
8.5,25
8.583333333333334,29
8.666666666666666,26
8.75,26
8.833333333333334,28
8.916666666666666,30
9,30
9.083333333333334,27
9.166666666666666,27
9.25,26
9.333333333333334,28
9.416666666666666,29
9.5,30
9.583333333333334,28
9.666666666666666,30
9.75,29
9.833333333333334,30
9.916666666666666,29
10,31
10.083333333333334,30
10.166666666666666,31
10.25,30
10.333333333333334,32
10.416666666666666,30
10.5,32
10.583333333333334,31
10.666666666666666,29
10.75,34
10.833333333333334,34
10.916666666666666,28
11,31
11.083333333333334,30
11.166666666666666,32
11.25,30
11.333333333333334,32
11.416666666666666,29
11.5,36
11.583333333333334,30
11.666666666666666,33
11.75,35
11.833333333333334,34
11.916666666666666,32
12,33
12.083333333333334,33
12.166666666666666,30
12.25,34
12.333333333333334,33
12.416666666666666,33
12.5,33
12.583333333333334,29
12.666666666666666,32
12.75,30
12.833333333333334,32
12.916666666666666,34
13,33
13.083333333333334,32
13.166666666666666,31
13.25,32
13.333333333333334,32
13.416666666666666,32
13.5,32
13.583333333333334,32
13.666666666666666,31
13.75,30
13.833333333333334,33
13.916666666666666,32
14,31
14.083333333333334,34
14.166666666666666,29
14.25,32
14.333333333333334,35
14.416666666666666,32
14.5,31
14.583333333333334,32
14.666666666666666,32
14.75,31
14.833333333333334,33
14.916666666666666,36
15,34
15.083333333333334,36
15.166666666666666,34
15.25,32
15.333333333333334,32
15.416666666666666,39
15.5,35
15.583333333333334,38
15.666666666666666,33
15.75,35
15.833333333333334,37
15.916666666666666,33
16,33
16.083333333333332,36
16.166666666666668,36
16.25,35
16.333333333333332,34
16.416666666666668,36
16.5,35
16.583333333333332,37
16.666666666666668,37
16.75,35
16.833333333333332,37
16.916666666666668,40
17,41
17.083333333333332,40
17.166666666666668,36
17.25,36
17.333333333333332,35
17.416666666666668,39
17.5,38
17.583333333333332,33
17.666666666666668,38
17.75,37
17.833333333333332,37
17.916666666666668,35
18,36
18.083333333333332,35
18.166666666666668,34
18.25,34
18.333333333333332,41
18.416666666666668,36
18.5,35
18.583333333333332,37
18.666666666666668,34
18.75,39
18.833333333333332,43
18.916666666666668,42
19,37
19.083333333333332,41
19.166666666666668,37
19.25,40
19.333333333333332,41
19.416666666666668,37
19.5,39
19.583333333333332,36
19.666666666666668,39
19.75,41
19.833333333333332,39
19.916666666666668,37
20,35
20.083333333333332,43
20.166666666666668,40
20.25,37
20.333333333333332,39
20.416666666666668,39
20.5,41
20.583333333333332,41
20.666666666666668,40
20.75,41
20.833333333333332,41
20.916666666666668,39
21,38
21.083333333333332,39
21.166666666666668,41
21.25,37
21.333333333333332,42
21.416666666666668,41
21.5,38
21.583333333333332,41
21.666666666666668,40
21.75,40
21.833333333333332,41
21.916666666666668,42
22,37
22.083333333333332,42
22.166666666666668,41
22.25,43
22.333333333333332,39
22.416666666666668,43
22.5,42
22.583333333333332,39
22.666666666666668,39
22.75,36
22.833333333333332,41
22.916666666666668,41
23,38
23.083333333333332,44
23.166666666666668,42
23.25,45
23.333333333333332,45
23.416666666666668,45
23.5,46
23.583333333333332,42
23.666666666666668,45
23.75,46
23.833333333333332,41
23.916666666666668,41
24,43
24.083333333333332,45
24.166666666666668,39
24.25,45
24.333333333333332,43
24.416666666666668,42
24.5,40
24.583333333333332,40
24.666666666666668,41
24.75,42
24.833333333333332,41
24.916666666666668,41
25,41
25.083333333333332,41
25.166666666666668,39
25.25,46
25.333333333333332,43
25.416666666666668,42
25.5,42
25.583333333333332,41
25.666666666666668,39
25.75,44
25.833333333333332,44
25.916666666666668,43
26,42
26.083333333333332,43
26.166666666666668,40
26.25,41
26.333333333333332,43
26.416666666666668,39
26.5,41
26.583333333333332,43
26.666666666666668,43
26.75,39
26.833333333333332,39
26.916666666666668,42
27,39
27.083333333333332,40
27.166666666666668,40
27.25,42
27.333333333333332,43
27.416666666666668,45
27.5,41
27.583333333333332,38
27.666666666666668,42
27.75,43
27.833333333333332,46
27.916666666666668,40
28,39
28.083333333333332,45
28.166666666666668,43
28.25,40
28.333333333333332,41
28.416666666666668,44
28.5,45
28.583333333333332,45
28.666666666666668,46
28.75,43
28.833333333333332,40
28.916666666666668,44
29,40
29.083333333333332,44
29.166666666666668,45
29.25,44
29.333333333333332,43
29.416666666666668,42
29.5,45
29.583333333333332,43
29.666666666666668,47
29.75,42
29.833333333333332,46
29.916666666666668,43
30,46
30.083333333333332,46
30.166666666666668,48
30.25,43
30.333333333333332,40
30.416666666666668,43
30.5,43
30.583333333333332,40
30.666666666666668,42
30.75,45
30.833333333333332,45
30.916666666666668,42
31,44
31.083333333333332,40
31.166666666666668,44
31.25,44
31.333333333333332,43
31.416666666666668,46
31.5,44
31.583333333333332,46
31.666666666666668,41
31.75,42
31.833333333333332,41
31.916666666666668,42
32,47
32.083333333333336,48
32.166666666666664,46
32.25,45
32.333333333333336,49
32.416666666666664,44
32.5,44
32.583333333333336,46
32.666666666666664,43
32.75,44
32.833333333333336,48
32.916666666666664,46
33,48
33.083333333333336,46
33.166666666666664,48
33.25,47
33.333333333333336,44
33.416666666666664,50
33.5,45
33.583333333333336,48
33.666666666666664,51
33.75,43
33.833333333333336,45
33.916666666666664,48
34,49
34.083333333333336,49
34.166666666666664,50
34.25,46
34.333333333333336,47
34.416666666666664,50
34.5,50
34.583333333333336,46
34.666666666666664,47
34.75,44
34.833333333333336,49
34.916666666666664,45
35,47
35.083333333333336,45
35.166666666666664,46
35.25,51
35.333333333333336,49
35.416666666666664,48
35.5,48
35.583333333333336,47
35.666666666666664,44
35.75,45
35.833333333333336,49
35.916666666666664,50
36,45
36.083333333333336,48
36.166666666666664,46
36.25,46
36.333333333333336,47
36.416666666666664,48
36.5,50
36.583333333333336,49
36.666666666666664,49
36.75,47
36.833333333333336,47
36.916666666666664,44
37,48
37.083333333333336,49
37.166666666666664,45
37.25,43
37.333333333333336,49
37.416666666666664,44
37.5,46
37.583333333333336,50
37.666666666666664,48
37.75,47
37.833333333333336,48
37.916666666666664,46
38,48
38.083333333333336,46
38.166666666666664,46
38.25,44
38.333333333333336,48
38.416666666666664,46
38.5,44
38.583333333333336,50
38.666666666666664,49
38.75,45
38.833333333333336,45
38.916666666666664,48
39,45
39.083333333333336,47
39.166666666666664,45
39.25,51
39.333333333333336,44
39.416666666666664,47
39.5,48
39.583333333333336,48
39.666666666666664,46
39.75,50
39.833333333333336,48
39.916666666666664,46
40,45
40.083333333333336,44
40.166666666666664,44
40.25,47
40.333333333333336,47
40.416666666666664,49
40.5,45
40.583333333333336,48
40.666666666666664,50
40.75,47
40.833333333333336,45
40.916666666666664,46
41,48
41.083333333333336,47
41.166666666666664,44
41.25,47
41.333333333333336,50
41.416666666666664,51
41.5,47
41.583333333333336,44
41.666666666666664,47
41.75,47
41.833333333333336,47
41.916666666666664,51
42,43
42.083333333333336,46
42.166666666666664,45
42.25,46
42.333333333333336,45
42.416666666666664,46
42.5,50
42.583333333333336,45
42.666666666666664,47
42.75,46
42.833333333333336,49
42.916666666666664,47
43,47
43.083333333333336,43
43.166666666666664,48
43.25,47
43.333333333333336,46
43.416666666666664,47
43.5,44
43.583333333333336,46
43.666666666666664,44
43.75,43
43.833333333333336,48
43.916666666666664,50
44,51
44.083333333333336,48
44.166666666666664,46
44.25,48
44.333333333333336,43
44.416666666666664,45
44.5,47
44.583333333333336,46
44.666666666666664,46
44.75,43
44.833333333333336,49
44.916666666666664,46
45,46
45.083333333333336,49
45.166666666666664,47
45.25,47
45.333333333333336,46
45.416666666666664,49
45.5,44
45.583333333333336,47
45.666666666666664,46
45.75,43
45.833333333333336,47
45.916666666666664,48
46,45
46.083333333333336,49
46.166666666666664,49
46.25,46
46.333333333333336,49
46.416666666666664,49
46.5,47
46.583333333333336,47
46.666666666666664,47
46.75,47
46.833333333333336,44
46.916666666666664,48
47,46
47.083333333333336,43
47.166666666666664,50
47.25,50
47.333333333333336,48
47.416666666666664,48
47.5,45
47.583333333333336,44
47.666666666666664,50
47.75,47
47.833333333333336,44
47.916666666666664,44
