"Hours since thread went live","Zom 100: Zombie ni Naru made ni Shitai 100 no Koto • Zom 100: Bucket List of the Dead - Episode 3 discussion"
0,1
0,2
0.08333333333333333,6
0.16666666666666666,12
0.25,14
0.3333333333333333,24
0.4166666666666667,31
0.5,44
0.5833333333333334,60
0.6666666666666666,66
0.75,79
0.8333333333333334,86
0.9166666666666666,97
1,105
1.0833333333333333,111
1.1666666666666667,121
1.25,132
1.3333333333333333,143
1.4166666666666667,156
1.5,165
1.5833333333333333,173
1.6666666666666667,189
1.75,196
1.8333333333333333,203
1.9166666666666667,217
2,229
2.0833333333333335,249
2.1666666666666665,258
2.25,272
2.3333333333333335,286
2.4166666666666665,298
2.5,313
2.5833333333333335,326
2.6666666666666665,341
2.75,351
2.8333333333333335,362
2.9166666666666665,377
3,397
3.0833333333333335,414
3.1666666666666665,422
3.25,441
3.3333333333333335,456
3.4166666666666665,474
3.5,489
3.5833333333333335,504
3.6666666666666665,516
3.75,536
3.8333333333333335,534
3.9166666666666665,554
4,566
4.083333333333333,581
4.166666666666667,596
4.25,612
4.333333333333333,619
4.416666666666667,649
4.5,657
4.583333333333333,670
4.666666666666667,682
4.75,687
4.833333333333333,707
4.916666666666667,715
5,732
5.083333333333333,748
5.166666666666667,774
5.25,789
5.333333333333333,796
5.416666666666667,802
5.5,826
5.583333333333333,838
5.666666666666667,850
5.75,865
5.833333333333333,886
5.916666666666667,890
6,904
6.083333333333333,917
6.166666666666667,930
6.25,945
6.333333333333333,948
6.416666666666667,969
6.5,979
6.583333333333333,996
6.666666666666667,1012
6.75,1035
6.833333333333333,1045
6.916666666666667,1056
7,1070
7.083333333333333,1078
7.166666666666667,1101
7.25,1111
7.333333333333333,1117
7.416666666666667,1132
7.5,1153
7.583333333333333,1164
7.666666666666667,1168
7.75,1178
7.833333333333333,1193
7.916666666666667,1202
8,1218
8.083333333333334,1233
8.166666666666666,1248
8.25,1259
8.333333333333334,1274
8.416666666666666,1280
8.5,1298
8.583333333333334,1304
8.666666666666666,1315
8.75,1326
8.833333333333334,1337
8.916666666666666,1350
9,1366
9.083333333333334,1378
9.166666666666666,1386
9.25,1393
9.333333333333334,1394
9.416666666666666,1409
9.5,1415
9.583333333333334,1427
9.666666666666666,1433
9.75,1449
9.833333333333334,1457
9.916666666666666,1466
10,1474
10.083333333333334,1489
10.166666666666666,1506
10.25,1509
10.333333333333334,1528
10.416666666666666,1540
10.5,1549
10.583333333333334,1556
10.666666666666666,1566
10.75,1570
10.833333333333334,1577
10.916666666666666,1590
11,1590
11.083333333333334,1602
11.166666666666666,1615
11.25,1620
11.333333333333334,1636
11.416666666666666,1638
11.5,1650
11.583333333333334,1656
11.666666666666666,1669
11.75,1680
11.833333333333334,1690
11.916666666666666,1696
12,1713
12.083333333333334,1708
12.166666666666666,1723
12.25,1734
12.333333333333334,1734
12.416666666666666,1736
12.5,1749
12.583333333333334,1746
12.666666666666666,1758
12.75,1767
12.833333333333334,1775
12.916666666666666,1784
13,1792
13.083333333333334,1796
13.166666666666666,1800
13.25,1809
13.333333333333334,1828
13.416666666666666,1832
13.5,1844
13.583333333333334,1846
13.666666666666666,1861
13.75,1865
13.833333333333334,1872
13.916666666666666,1882
14,1885
14.083333333333334,1896
14.166666666666666,1899
14.25,1911
14.333333333333334,1918
14.416666666666666,1925
14.5,1936
14.583333333333334,1942
14.666666666666666,1951
14.75,1960
14.833333333333334,1958
14.916666666666666,1971
15,1979
15.083333333333334,1982
15.166666666666666,1989
15.25,1989
15.333333333333334,1996
15.416666666666666,2002
15.5,2001
15.583333333333334,2013
15.666666666666666,2018
15.75,2015
15.833333333333334,2026
15.916666666666666,2032
16,2033
16.083333333333332,2048
16.166666666666668,2052
16.25,2062
16.333333333333332,2073
16.416666666666668,2077
16.5,2088
16.583333333333332,2089
16.666666666666668,2099
16.75,2095
16.833333333333332,2104
16.916666666666668,2108
17,2118
17.083333333333332,2124
17.166666666666668,2130
17.25,2134
17.333333333333332,2127
17.416666666666668,2140
17.5,2137
17.583333333333332,2151
17.666666666666668,2153
17.75,2149
17.833333333333332,2158
17.916666666666668,2151
18,2169
18.083333333333332,2175
18.166666666666668,2181
18.25,2182
18.333333333333332,2186
18.416666666666668,2199
18.5,2203
18.583333333333332,2207
18.666666666666668,2210
18.75,2211
18.833333333333332,2225
18.916666666666668,2222
19,2231
19.083333333333332,2230
19.166666666666668,2239
19.25,2247
19.333333333333332,2246
19.416666666666668,2254
19.5,2261
19.583333333333332,2260
19.666666666666668,2270
19.75,2267
19.833333333333332,2275
19.916666666666668,2281
20,2286
20.083333333333332,2284
20.166666666666668,2283
20.25,2289
20.333333333333332,2299
20.416666666666668,2303
20.5,2301
20.583333333333332,2296
20.666666666666668,2301
20.75,2310
20.833333333333332,2309
20.916666666666668,2317
21,2328
21.083333333333332,2321
21.166666666666668,2328
21.25,2334
21.333333333333332,2339
21.416666666666668,2345
21.5,2351
21.583333333333332,2356
21.666666666666668,2362
21.75,2354
21.833333333333332,2357
21.916666666666668,2356
22,2363
22.083333333333332,2364
22.166666666666668,2368
22.25,2366
22.333333333333332,2373
22.416666666666668,2375
22.5,2376
22.583333333333332,2380
22.666666666666668,2379
22.75,2381
22.833333333333332,2384
22.916666666666668,2386
23,2390
23.083333333333332,2385
23.166666666666668,2389
23.25,2396
23.333333333333332,2390
23.416666666666668,2398
23.5,2402
23.583333333333332,2401
23.666666666666668,2404
23.75,2409
23.833333333333332,2407
23.916666666666668,2414
24,2414
24.083333333333332,2419
24.166666666666668,2418
24.25,2418
24.333333333333332,2422
24.416666666666668,2429
24.5,2426
24.583333333333332,2428
24.666666666666668,2434
24.75,2434
24.833333333333332,2438
24.916666666666668,2436
25,2449
25.083333333333332,2447
25.166666666666668,2450
25.25,2453
25.333333333333332,2456
25.416666666666668,2454
25.5,2451
25.583333333333332,2459
25.666666666666668,2451
25.75,2456
25.833333333333332,2459
25.916666666666668,2460
26,2461
26.083333333333332,2463
26.166666666666668,2464
26.25,2466
26.333333333333332,2465
26.416666666666668,2466
26.5,2470
26.583333333333332,2469
26.666666666666668,2470
26.75,2473
26.833333333333332,2467
26.916666666666668,2473
27,2478
27.083333333333332,2477
27.166666666666668,2471
27.25,2476
27.333333333333332,2478
27.416666666666668,2483
27.5,2485
27.583333333333332,2483
27.666666666666668,2484
27.75,2488
27.833333333333332,2487
27.916666666666668,2487
28,2496
28.083333333333332,2493
28.166666666666668,2491
28.25,2494
28.333333333333332,2499
28.416666666666668,2500
28.5,2506
28.583333333333332,2511
28.666666666666668,2508
28.75,2510
28.833333333333332,2509
28.916666666666668,2504
29,2514
29.083333333333332,2506
29.166666666666668,2511
29.25,2515
29.333333333333332,2512
29.416666666666668,2517
29.5,2514
29.583333333333332,2524
29.666666666666668,2524
29.75,2523
29.833333333333332,2525
29.916666666666668,2532
30,2525
30.083333333333332,2532
30.166666666666668,2535
30.25,2538
30.333333333333332,2538
30.416666666666668,2539
30.5,2539
