"Hours since thread went live","Megumi no Daigo: Kyuukoku no Orange • Firefighter Daigo: Rescuer in Orange - Episode 23 discussion"
35.333333333333336,29
35.416666666666664,27
35.5,28
35.583333333333336,28
35.666666666666664,26
35.75,27
35.833333333333336,30
35.916666666666664,29
36,28
36.083333333333336,28
36.166666666666664,26
36.25,28
36.333333333333336,29
36.416666666666664,27
36.5,28
36.583333333333336,30
36.666666666666664,28
36.75,30
36.833333333333336,28
36.916666666666664,27
37,30
37.083333333333336,29
37.166666666666664,27
37.25,29
37.333333333333336,27
37.416666666666664,27
37.5,28
37.583333333333336,28
37.666666666666664,28
37.75,27
37.833333333333336,27
37.916666666666664,26
38,27
38.083333333333336,28
38.166666666666664,26
38.25,28
38.333333333333336,27
38.416666666666664,28
38.5,29
38.583333333333336,30
38.666666666666664,27
38.75,29
38.833333333333336,26
38.916666666666664,29
39,26
39.083333333333336,28
39.166666666666664,28
39.25,29
39.333333333333336,29
39.416666666666664,28
39.5,28
39.583333333333336,30
39.666666666666664,30
39.75,29
39.833333333333336,28
39.916666666666664,30
40,29
40.083333333333336,28
40.166666666666664,28
40.25,27
40.333333333333336,26
40.416666666666664,27
40.5,27
40.583333333333336,26
40.666666666666664,30
40.75,29
40.833333333333336,29
40.916666666666664,29
41,28
41.083333333333336,28
41.166666666666664,27
41.25,26
41.333333333333336,26
41.416666666666664,30
41.5,28
41.583333333333336,30
41.666666666666664,29
41.75,29
41.833333333333336,27
41.916666666666664,28
42,29
42.083333333333336,30
42.166666666666664,29
42.25,30
42.333333333333336,28
42.416666666666664,28
42.5,29
42.583333333333336,27
42.666666666666664,30
42.75,29
42.833333333333336,28
42.916666666666664,30
43,28
43.083333333333336,31
43.166666666666664,30
43.25,29
43.333333333333336,30
43.416666666666664,28
43.5,30
43.583333333333336,30
43.666666666666664,29
43.75,30
43.833333333333336,32
43.916666666666664,29
44,31
44.083333333333336,30
44.166666666666664,31
44.25,29
44.333333333333336,27
44.416666666666664,28
44.5,28
44.583333333333336,30
44.666666666666664,27
44.75,32
44.833333333333336,30
44.916666666666664,32
45,29
45.083333333333336,31
45.166666666666664,30
45.25,27
45.333333333333336,28
45.416666666666664,31
45.5,30
45.583333333333336,32
45.666666666666664,32
45.75,29
45.833333333333336,29
45.916666666666664,28
46,31
46.083333333333336,29
46.166666666666664,31
46.25,32
46.333333333333336,29
46.416666666666664,30
46.5,31
46.583333333333336,29
46.666666666666664,26
46.75,28
46.833333333333336,30
46.916666666666664,30
47,29
47.083333333333336,30
47.166666666666664,30
47.25,28
47.333333333333336,26
47.416666666666664,29
47.5,30
47.583333333333336,32
47.666666666666664,32
47.75,30
47.833333333333336,33
47.916666666666664,31
