"Hours since thread went live","Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 - Episode 12 discussion - FINAL"
0,17
0,43
0.08333333333333333,99
0.16666666666666666,174
0.25,232
0.3333333333333333,379
0.4166666666666667,518
0.5,665
0.5833333333333334,813
0.6666666666666666,949
0.75,1103
0.8333333333333334,1242
0.9166666666666666,1367
1,1498
1.0833333333333333,1611
1.1666666666666667,1721
1.25,1853
1.3333333333333333,1950
1.4166666666666667,2076
1.5,2191
1.5833333333333333,2299
1.6666666666666667,2413
1.75,2513
1.8333333333333333,2616
1.9166666666666667,2695
2,2798
2.0833333333333335,2902
2.1666666666666665,3000
2.25,3105
2.3333333333333335,3194
2.4166666666666665,3288
2.5,3363
2.5833333333333335,3447
2.6666666666666665,3530
2.75,3590
2.8333333333333335,3672
2.9166666666666665,3749
3,3813
3.0833333333333335,3891
3.1666666666666665,3967
3.25,4036
3.3333333333333335,4121
3.4166666666666665,4186
3.5,4260
3.5833333333333335,4329
3.6666666666666665,4413
3.75,4464
3.8333333333333335,4527
3.9166666666666665,4587
4,4657
4.083333333333333,4718
4.166666666666667,4784
4.25,4837
4.333333333333333,4898
4.416666666666667,4977
4.5,5029
4.583333333333333,5089
4.666666666666667,5158
4.75,5229
4.833333333333333,5273
4.916666666666667,5329
5,5389
5.083333333333333,5452
5.166666666666667,5494
5.25,5553
5.333333333333333,5592
5.416666666666667,5658
5.5,5716
5.583333333333333,5752
5.666666666666667,5801
5.75,5860
5.833333333333333,5908
5.916666666666667,5956
6,5999
6.083333333333333,6038
6.166666666666667,6086
6.25,6152
6.333333333333333,6187
6.416666666666667,6241
6.5,6292
6.583333333333333,6342
6.666666666666667,6387
6.75,6430
6.833333333333333,6490
6.916666666666667,6521
7,6552
7.083333333333333,6602
7.166666666666667,6637
7.25,6689
7.333333333333333,6739
7.416666666666667,6778
7.5,6805
7.583333333333333,6835
7.666666666666667,6876
7.75,6919
7.833333333333333,6956
7.916666666666667,7011
8,7046
8.083333333333334,7083
8.166666666666666,7113
8.25,7159
8.333333333333334,7195
8.416666666666666,7230
8.5,7262
8.583333333333334,7296
8.666666666666666,7334
8.75,7370
8.833333333333334,7414
8.916666666666666,7435
9,7468
9.083333333333334,7512
9.166666666666666,7546
9.25,7570
9.333333333333334,7600
9.416666666666666,7623
9.5,7655
9.583333333333334,7692
9.666666666666666,7721
9.75,7752
9.833333333333334,7790
9.916666666666666,7821
10,7842
10.083333333333334,7883
10.166666666666666,7907
10.25,7941
10.333333333333334,7954
10.416666666666666,7981
10.5,8017
10.583333333333334,8051
10.666666666666666,8095
10.75,8126
10.833333333333334,8133
10.916666666666666,8162
11,8197
11.083333333333334,8217
11.166666666666666,8245
11.25,8268
11.333333333333334,8296
11.416666666666666,8328
11.5,8352
11.583333333333334,8381
11.666666666666666,8405
11.75,8439
11.833333333333334,8461
11.916666666666666,8489
12,8504
12.083333333333334,8532
12.166666666666666,8570
12.25,8598
12.333333333333334,8615
12.416666666666666,8638
12.5,8656
12.583333333333334,8677
12.666666666666666,8697
12.75,8717
12.833333333333334,8749
12.916666666666666,8756
13,8787
13.083333333333334,8805
13.166666666666666,8826
13.25,8853
13.333333333333334,8863
13.416666666666666,8884
13.5,8906
13.583333333333334,8926
13.666666666666666,8961
13.75,8987
13.833333333333334,9007
13.916666666666666,9019
14,9027
14.083333333333334,9065
14.166666666666666,9086
14.25,9101
14.333333333333334,9122
14.416666666666666,9135
14.5,9153
14.583333333333334,9170
14.666666666666666,9187
14.75,9211
14.833333333333334,9233
14.916666666666666,9253
15,9262
15.083333333333334,9277
15.166666666666666,9302
15.25,9324
15.333333333333334,9333
15.416666666666666,9352
15.5,9364
15.583333333333334,9396
15.666666666666666,9402
15.75,9418
15.833333333333334,9453
15.916666666666666,9465
16,9480
16.083333333333332,9489
16.166666666666668,9507
16.25,9516
16.333333333333332,9536
16.416666666666668,9553
16.5,9564
16.583333333333332,9579
16.666666666666668,9585
16.75,9607
16.833333333333332,9616
16.916666666666668,9634
17,9649
17.083333333333332,9669
17.166666666666668,9681
17.25,9691
17.333333333333332,9704
17.416666666666668,9713
17.5,9725
17.583333333333332,9740
17.666666666666668,9739
17.75,9761
17.833333333333332,9768
17.916666666666668,9774
18,9796
18.083333333333332,9803
18.166666666666668,9814
18.25,9825
18.333333333333332,9850
18.416666666666668,9850
18.5,9867
18.583333333333332,9873
18.666666666666668,9889
18.75,9895
18.833333333333332,9904
18.916666666666668,9913
19,9927
19.083333333333332,9943
19.166666666666668,9952
19.25,9959
19.333333333333332,9973
19.416666666666668,9968
19.5,9981
19.583333333333332,10003
19.666666666666668,10010
19.75,10022
19.833333333333332,10027
19.916666666666668,10036
20,10046
20.083333333333332,10061
20.166666666666668,10078
20.25,10085
20.333333333333332,10084
20.416666666666668,10100
20.5,10102
20.583333333333332,10104
20.666666666666668,10125
20.75,10123
20.833333333333332,10135
20.916666666666668,10139
21,10145
21.083333333333332,10155
21.166666666666668,10154
21.25,10160
21.333333333333332,10172
21.416666666666668,10187
21.5,10200
21.583333333333332,10203
21.666666666666668,10200
21.75,10222
21.833333333333332,10217
21.916666666666668,10235
22,10246
22.083333333333332,10253
22.166666666666668,10257
22.25,10269
22.333333333333332,10275
22.416666666666668,10278
22.5,10284
22.583333333333332,10291
22.666666666666668,10294
22.75,10308
22.833333333333332,10306
22.916666666666668,10310
23,10320
23.083333333333332,10327
23.166666666666668,10334
23.25,10345
23.333333333333332,10351
23.416666666666668,10350
23.5,10356
23.583333333333332,10351
23.666666666666668,10359
23.75,10370
23.833333333333332,10370
23.916666666666668,10370
24,10376
24.083333333333332,10378
24.166666666666668,10392
24.25,10393
24.333333333333332,10401
24.416666666666668,10418
24.5,10412
24.583333333333332,10428
24.666666666666668,10434
24.75,10434
24.833333333333332,10444
24.916666666666668,10435
25,10447
25.083333333333332,10443
25.166666666666668,10458
25.25,10457
25.333333333333332,10456
25.416666666666668,10463
25.5,10465
25.583333333333332,10472
25.666666666666668,10471
25.75,10480
25.833333333333332,10479
25.916666666666668,10487
26,10490
26.083333333333332,10498
26.166666666666668,10500
26.25,10502
26.333333333333332,10510
26.416666666666668,10512
26.5,10519
26.583333333333332,10519
26.666666666666668,10523
26.75,10531
26.833333333333332,10528
26.916666666666668,10532
27,10533
27.083333333333332,10542
27.166666666666668,10539
27.25,10542
27.333333333333332,10541
27.416666666666668,10556
27.5,10556
27.583333333333332,10555
27.666666666666668,10567
27.75,10573
27.833333333333332,10574
27.916666666666668,10577
28,10590
28.083333333333332,10589
28.166666666666668,10593
28.25,10605
28.333333333333332,10609
28.416666666666668,10615
28.5,10606
28.583333333333332,10614
28.666666666666668,10618
28.75,10631
28.833333333333332,10635
28.916666666666668,10629
29,10636
29.083333333333332,10644
29.166666666666668,10636
29.25,10641
29.333333333333332,10651
29.416666666666668,10643
29.5,10646
29.583333333333332,10648
29.666666666666668,10649
29.75,10651
29.833333333333332,10666
29.916666666666668,10658
30,10673
30.083333333333332,10663
30.166666666666668,10668
30.25,10666
30.333333333333332,10678
30.416666666666668,10675
30.5,10676
30.583333333333332,10687
30.666666666666668,10693
30.75,10690
30.833333333333332,10692
30.916666666666668,10699
31,10703
31.083333333333332,10706
31.166666666666668,10698
31.25,10701
31.333333333333332,10711
31.416666666666668,10708
31.5,10710
31.583333333333332,10717
31.666666666666668,10720
31.75,10731
31.833333333333332,10726
31.916666666666668,10729
32,10727
32.083333333333336,10729
32.166666666666664,10739
32.25,10743
32.333333333333336,10749
32.416666666666664,10748
32.5,10756
32.583333333333336,10754
32.666666666666664,10753
32.75,10754
32.833333333333336,10758
32.916666666666664,10771
33,10769
33.083333333333336,10769
33.166666666666664,10781
33.25,10776
33.333333333333336,10776
33.416666666666664,10781
33.5,10782
33.583333333333336,10778
33.666666666666664,10791
33.75,10788
33.833333333333336,10792
33.916666666666664,10793
34,10797
34.083333333333336,10802
34.166666666666664,10803
34.25,10805
34.333333333333336,10810
34.416666666666664,10804
34.5,10804
34.583333333333336,10813
34.666666666666664,10812
34.75,10821
34.833333333333336,10814
34.916666666666664,10819
35,10814
35.083333333333336,10826
35.166666666666664,10818
35.25,10832
35.333333333333336,10827
35.416666666666664,10836
35.5,10837
35.583333333333336,10841
35.666666666666664,10838
35.75,10843
35.833333333333336,10838
35.916666666666664,10846
36,10847
36.083333333333336,10842
36.166666666666664,10852
36.25,10851
36.333333333333336,10852
36.416666666666664,10859
36.5,10860
36.583333333333336,10872
36.666666666666664,10872
36.75,10874
36.833333333333336,10873
36.916666666666664,10870
37,10872
37.083333333333336,10883
37.166666666666664,10877
37.25,10881
37.333333333333336,10879
37.416666666666664,10886
37.5,10879
37.583333333333336,10880
37.666666666666664,10891
37.75,10892
37.833333333333336,10888
37.916666666666664,10886
38,10895
38.083333333333336,10895
38.166666666666664,10897
38.25,10893
38.333333333333336,10898
38.416666666666664,10902
38.5,10901
38.583333333333336,10908
38.666666666666664,10906
38.75,10902
38.833333333333336,10910
38.916666666666664,10910
39,10912
39.083333333333336,10906
39.166666666666664,10913
39.25,10909
39.333333333333336,10913
39.416666666666664,10918
39.5,10918
39.583333333333336,10924
39.666666666666664,10922
39.75,10926
39.833333333333336,10925
39.916666666666664,10935
40,10925
40.083333333333336,10937
40.166666666666664,10932
40.25,10939
40.333333333333336,10934
40.416666666666664,10934
40.5,10938
40.583333333333336,10937
40.666666666666664,10947
40.75,10943
40.833333333333336,10943
40.916666666666664,10942
41,10948
41.083333333333336,10950
41.166666666666664,10954
41.25,10952
41.333333333333336,10957
41.416666666666664,10952
41.5,10950
41.583333333333336,10954
41.666666666666664,10950
41.75,10954
41.833333333333336,10956
41.916666666666664,10964
42,10962
42.083333333333336,10969
42.166666666666664,10969
42.25,10965
42.333333333333336,10967
42.416666666666664,10967
42.5,10961
42.583333333333336,10960
42.666666666666664,10962
42.75,10968
42.833333333333336,10968
42.916666666666664,10969
43,10969
43.083333333333336,10966
43.166666666666664,10972
43.25,10962
43.333333333333336,10967
43.416666666666664,10971
43.5,10965
43.583333333333336,10969
43.666666666666664,10973
43.75,10976
43.833333333333336,10974
43.916666666666664,10978
44,10978
44.083333333333336,10975
44.166666666666664,10977
44.25,10979
44.333333333333336,10980
44.416666666666664,10980
44.5,10983
44.583333333333336,10984
44.666666666666664,10989
44.75,10980
44.833333333333336,10986
44.916666666666664,10993
45,10989
45.083333333333336,10997
45.166666666666664,10988
45.25,10997
45.333333333333336,10985
45.416666666666664,10996
45.5,10996
45.583333333333336,10995
45.666666666666664,10995
45.75,11002
45.833333333333336,11006
45.916666666666664,11000
46,10997
46.083333333333336,11000
46.166666666666664,11004
46.25,11002
46.333333333333336,11005
46.416666666666664,11009
46.5,11006
46.583333333333336,11009
46.666666666666664,11005
46.75,11005
46.833333333333336,11014
46.916666666666664,11009
47,11007
47.083333333333336,11014
47.166666666666664,11011
47.25,11016
47.333333333333336,11015
47.416666666666664,11015
47.5,11011
47.583333333333336,11026
47.666666666666664,11014
47.75,11017
47.833333333333336,11015
47.916666666666664,11019
